model_id,feature,importance
ET001,NumberOfDependents_median,0.0030417295066099467
ET001,MonthlyIncome_missing_flag,0.002393304428024451
ET001,DebtRatio_high_flag,0.0017703413883419343
ET001,NumberRealEstateLoansOrLines,0.0011799921049161465
ET001,MonthlyIncome_median,0.0006121301361360351
ET001,NumberOfDependents_missing_flag,0.0002380449531510969
ET002,RevolvingUtilization_log,0.2840116567376858
ET002,RevolvingUtilization_capped,0.28084262357765166
ET002,NumberOfTimes90DaysLate,0.13810021405447975
ET002,NumberOfTime30-59DaysPastDueNotWorse,0.11726688219464418
ET002,NumberOfTime60-89DaysPastDueNotWorse,0.10925424460267039
ET002,age,0.02452668902664819
ET002,age_sq,0.02128020013402129
ET002,NumberOfOpenCreditLinesAndLoans,0.004958885765785126
ET002,DebtRatio_log,0.00408309130650092
ET002,DebtRatio_capped,0.003179725782977786
ET002,RevolvingUtilization_high_flag,0.0031377299223350297
ET002,NumberOfDependents_median,0.002851861381884347
ET002,MonthlyIncome_missing_flag,0.002297009678032566
ET002,NumberRealEstateLoansOrLines,0.002033787043801105
ET002,DebtRatio_high_flag,0.0014378984486468132
ET002,MonthlyIncome_median,0.0005559487654165108
ET002,NumberOfDependents_missing_flag,0.00018155157681865638
ET003,RevolvingUtilization_log,0.26481072640635533
ET003,RevolvingUtilization_capped,0.25073098159274704
ET003,NumberOfTimes90DaysLate,0.1606727956554989
ET003,NumberOfTime60-89DaysPastDueNotWorse,0.12404098515210907
ET003,NumberOfTime30-59DaysPastDueNotWorse,0.12348407318721302
ET003,age,0.023857089384663327
ET003,age_sq,0.021866409401392322
ET003,NumberOfOpenCreditLinesAndLoans,0.006526509744350512
ET003,DebtRatio_log,0.0052142302171979725
ET003,DebtRatio_capped,0.0038965055063210534
ET003,NumberOfDependents_median,0.0038065485680531933
ET003,NumberRealEstateLoansOrLines,0.0031419034040214015
ET003,MonthlyIncome_missing_flag,0.0025978339397628365
ET003,RevolvingUtilization_high_flag,0.002578752865467443
