table_name,model_id,split,bucket,total,bad,good,bad_rate,cum_bad,cum_total,cum_bad_pct,cum_total_pct,lift
lift,BLOG002,validation,"(0.118, 0.78]",2992,1202,1790,0.4017379679144385,1202,2992,0.4002664002664002,0.0667603811053841,5.995567934739058
lift,BLOG002,validation,"(0.104, 0.118]",5946,746,5200,0.1254624957954927,1948,8938,0.6486846486846487,0.1994332507753754,3.25264040054821
lift,BLOG002,validation,"(0.0498, 0.104]",4028,325,3703,0.0806852035749751,2273,12966,0.7569097569097569,0.2893098600977308,2.6162598006651683
lift,BLOG002,validation,"(0.0315, 0.0498]",4538,227,4311,0.0500220361392684,2500,17504,0.8325008325008325,0.3905660798357766,2.1315236408929277
lift,BLOG002,validation,"(0.0207, 0.0315]",8475,231,8244,0.0272566371681415,2731,25979,0.9094239094239094,0.579668429390633,1.568869138483057
lift,BLOG002,validation,"(0.012400000000000001, 0.0207]",18838,272,18566,0.0144389000955515,3003,44817,1.0,1.0,1.0
lift,BLOG003,train,"(0.145, 0.869]",10051,3531,6520,0.351308327529599,3531,10051,0.5039965743648301,0.0961146758723571,5.243700504532224
lift,BLOG003,train,"(0.0874, 0.145]",2947,415,2532,0.1408211740753308,3946,12998,0.5632315158435627,0.1242959463723905,4.5313747735273795
lift,BLOG003,train,"(0.0633, 0.0874]",12375,1164,11211,0.094060606060606,5110,25373,0.7293748215815016,0.2426343319977432,3.006066023617324
lift,BLOG003,train,"(0.0388, 0.0633]",11034,732,10302,0.0663404023926046,5842,36407,0.8338566942620611,0.3481491398353303,2.395113469636787
lift,BLOG003,train,"(0.0256, 0.0388]",10332,391,9941,0.0378435927216415,6233,46739,0.8896660005709391,0.4469509337974429,1.990522747121351
lift,BLOG003,train,"(0.0218, 0.0256]",10974,233,10741,0.0212320029159832,6466,57713,0.9229232086782756,0.5518919797653314,1.6722895829555442
lift,BLOG003,train,"(0.0179, 0.0218]",6520,110,6410,0.0168711656441717,6576,64233,0.9386240365401084,0.6142407696059212,1.5281044225415092
lift,BLOG003,train,"(0.011, 0.0179]",40340,430,39910,0.0106593951412989,7006,104573,1.0,1.0,1.0
