table_name,model_id,split,predicted_prob,actual_rate,bin,count
calibration,WLOG003,validation,0.3613479239105447,0.3635040038825528,9,
calibration,WLOG004,train,0.0137176691598955,0.0081135902636916,1,
calibration,WLOG004,train,0.0183895296648118,0.0120422708282133,2,
calibration,WLOG004,train,0.023083300982689,0.0152434282158967,3,
calibration,WLOG004,train,0.0252359397212356,0.0195533314799369,4,
calibration,WLOG004,train,0.035179477222105,0.0351577717179587,5,
calibration,WLOG004,train,0.0504798245586646,0.0626816860465116,6,
calibration,WLOG004,train,0.0817769396143555,0.0857665751601364,7,
calibration,WLOG004,train,0.1201939289378433,0.1428203808543489,8,
calibration,WLOG004,train,0.3513523504214109,0.3589442815249267,9,
calibration,WLOG004,validation,0.0137176691598913,0.008334948633456,1,
calibration,WLOG004,validation,0.0183895296648157,0.0117578748729859,2,
calibration,WLOG004,validation,0.0230833009826909,0.0136733185513673,3,
calibration,WLOG004,validation,0.0252359397212414,0.0207209151737535,4,
calibration,WLOG004,validation,0.0351937232903637,0.0309898242368177,5,
calibration,WLOG004,validation,0.0505109952704844,0.0554951033732317,6,
calibration,WLOG004,validation,0.0818509276370035,0.0847169811320754,7,
calibration,WLOG004,validation,0.1199594960586633,0.1644157369348209,8,
calibration,WLOG004,validation,0.3559240344580309,0.3644515980685215,9,
calibration,WLOG005,train,0.0100984298133198,0.0056296050997599,1,
calibration,WLOG005,train,0.0139747208813402,0.0085970043428166,2,
calibration,WLOG005,train,0.0168787413194812,0.0109676096760967,3,
calibration,WLOG005,train,0.0200007537397299,0.0130739139386452,4,
calibration,WLOG005,train,0.0250347271771409,0.0215840666975451,5,
calibration,WLOG005,train,0.0316307320217969,0.030157510564733,6,
calibration,WLOG005,train,0.0447659015710542,0.047581903276131,7,
calibration,WLOG005,train,0.0656043620258132,0.0734504893191623,8,
calibration,WLOG005,train,0.1014114285002296,0.1134350857358206,9,
calibration,WLOG005,train,0.3551678639707194,0.3611849227438244,10,
calibration,WLOG005,validation,0.0100937935813878,0.0062559241706161,1,
calibration,WLOG005,validation,0.0139934262660084,0.0084570957095709,2,
calibration,WLOG005,validation,0.0168925184140689,0.0117101732129787,3,
calibration,WLOG005,validation,0.0199741324312551,0.0124617916764636,4,
calibration,WLOG005,validation,0.0246233482042341,0.0182741116751269,5,
calibration,WLOG005,validation,0.0311826828374053,0.0301057770545158,6,
calibration,WLOG005,validation,0.0447568534091615,0.0439809566991611,7,
calibration,WLOG005,validation,0.065585920580215,0.0636211432671609,8,
calibration,WLOG005,validation,0.1012582630565616,0.1199558985667034,9,
calibration,WLOG005,validation,0.357066591119193,0.3679743060334939,10,
calibration,BLOG001,train,0.0140094940372819,0.0140094940372814,1,
calibration,BLOG001,train,0.0221018418201455,0.0221018418201516,2,
calibration,BLOG001,train,0.0327981202271404,0.0327981202271392,3,
calibration,BLOG001,train,0.0568161354223006,0.0568161354222942,4,
calibration,BLOG001,train,0.1048278713946046,0.1048278713946035,5,
calibration,BLOG001,train,0.1845987765382605,0.1845987765383231,6,
calibration,BLOG001,train,0.3627746660921843,0.3627746660922016,7,
calibration,BLOG001,validation,0.0140094940372819,0.0147918511957484,1,
calibration,BLOG001,validation,0.0221018418201515,0.0210715662340999,2,
calibration,BLOG001,validation,0.0328215191224743,0.0332145730375818,3,
calibration,BLOG001,validation,0.0568161354222889,0.0624470787468247,4,
calibration,BLOG001,validation,0.1048278713946046,0.092886824737228,5,
calibration,BLOG001,validation,0.1845987765383092,0.1816546762589928,6,
calibration,BLOG001,validation,0.3627746660922059,0.395,7,
calibration,BLOG002,train,0.013353149377866,0.011933546525232,1,
calibration,BLOG002,train,0.0206886082839142,0.0188679245283018,2,
calibration,BLOG002,train,0.0293883690862977,0.0267933443924998,3,
