table_name,model_id,split,row_number,population_pct,y_score,cum_bad_pct,cum_good_pct,ks
ks,BLOG002,validation,40779.0,0.9099002610616508,0.0133531493778671,0.9836829836829836,0.9046013296981872,0.0790816539847965
ks,BLOG002,validation,41362.0,0.9229087176740968,0.0133531493778671,0.985014985014985,0.918448366575788,0.0665666184391969
ks,BLOG002,validation,41945.0,0.9359171742865432,0.0133531493778671,0.9866799866799868,0.932271488018367,0.0544084986616196
ks,BLOG002,validation,42529.0,0.9489479438605886,0.0133531493778671,0.99000999000999,0.945998947720859,0.044011042289131
ks,BLOG002,validation,43112.0,0.9619564004730348,0.0133531493778671,0.9926739926739928,0.9597503228583728,0.0329236698156198
ks,BLOG002,validation,43695.0,0.974964857085481,0.0133531493778671,0.9953379953379954,0.9735016979958866,0.0218362973421087
ks,BLOG002,validation,44278.0,0.9879733136979272,0.0133531493778671,0.9976689976689976,0.987276988568422,0.0103920091005755
ks,BLOG003,validation,1.0,2.2312961599393088e-05,0.8689601267021568,0.0,2.3915435021763045e-05,-2.3915435021763045e-05
ks,BLOG003,validation,584.0,0.0130307695740455,0.6079158758488263,0.1192141192141192,0.0054048883149184,0.1138092308992007
ks,BLOG003,validation,1167.0,0.0260392261864917,0.4401543339022862,0.2117882117882117,0.0126990959965561,0.1990891157916556
ks,BLOG003,validation,1750.0,0.0390476827989379,0.3133254577361342,0.29004329004329,0.0210216673841297,0.2690216226591603
ks,BLOG003,validation,2333.0,0.052056139411384,0.2827084425916109,0.3543123543123543,0.0303486870426173,0.323963667269737
ks,BLOG003,validation,2916.0,0.0650645960238302,0.2241364662240098,0.4169164169164169,0.0397952838762137,0.3771211330402031
ks,BLOG003,validation,3500.0,0.0780953655978758,0.1820447295974901,0.4568764568764569,0.0508920457263117,0.4059844111501451
ks,BLOG003,validation,4083.0,0.0911038222103219,0.1820447295974901,0.4968364968364968,0.061964892141388,0.4348716046951087
ks,BLOG003,validation,4666.0,0.1041122788227681,0.1450491447917392,0.5371295371295371,0.0730138231214425,0.4641157140080946
ks,BLOG003,validation,5249.0,0.1171207354352143,0.1357315488560376,0.562104562104562,0.0851628641124982,0.4769416979920639
ks,BLOG003,validation,5832.0,0.1301291920476605,0.0874272859909712,0.5924075924075924,0.0969292581432056,0.4954783342643868
ks,BLOG003,validation,6416.0,0.143159961621706,0.0874272859909712,0.6077256077256077,0.1097957621849141,0.4979298455406935
ks,BLOG003,validation,6999.0,0.1561684182341522,0.0874272859909712,0.6263736263736264,0.1223991964413832,0.5039744299322431
ks,BLOG003,validation,7582.0,0.1691768748465983,0.0874272859909712,0.6446886446886447,0.1350265461328741,0.5096620985557706
ks,BLOG003,validation,8165.0,0.1821853314590445,0.0874272859909712,0.657009657009657,0.1480843736547567,0.5089252833549002
ks,BLOG003,validation,8748.0,0.1951937880714907,0.0874272859909712,0.6753246753246753,0.1607117233462476,0.5146129519784277
ks,BLOG003,validation,9332.0,0.2082245576455363,0.0874272859909712,0.6936396936396937,0.1733629884727603,0.5202767051669334
ks,BLOG003,validation,9915.0,0.2212330142579824,0.0874272859909712,0.7112887112887113,0.1860381690342947,0.5252505422544166
ks,BLOG003,validation,10498.0,0.2342414708704286,0.0856630980226478,0.72993672993673,0.1986416032907638,0.5312951266459661
ks,BLOG003,validation,11036.0,0.2462458442109021,0.0633218366594874,0.7512487512487512,0.2099775194910795,0.5412712317576717
ks,BLOG003,validation,11619.0,0.2592543008233482,0.0633218366594874,0.7625707625707626,0.2231070933180274,0.5394636692527351
ks,BLOG003,validation,12203.0,0.2722850703973938,0.0633218366594874,0.7722277722277723,0.2363801597551059,0.5358476124726663
ks,BLOG003,validation,12786.0,0.28529352700984,0.0633218366594874,0.7825507825507826,0.2495814798871191,0.5329693026636635
ks,BLOG003,validation,13369.0,0.2983019836222861,0.0633218366594874,0.7935397935397935,0.2627349691490888,0.5308048243907046
ks,BLOG003,validation,13952.0,0.3113104402347323,0.0633218366594874,0.8028638028638029,0.2760080355861673,0.5268557672776355
ks,BLOG003,validation,14535.0,0.3243188968471785,0.0575651482483919,0.8128538128538129,0.2892332711532023,0.5236205417006106
ks,BLOG003,validation,15119.0,0.3373496664212241,0.0406706576981641,0.8331668331668332,0.3017410436695844,0.5314257894972487
ks,BLOG003,validation,15702.0,0.3503581230336702,0.0387657103157925,0.8454878454878455,0.314798871191467,0.5306889742963785
ks,BLOG003,validation,16285.0,0.3633665796461164,0.0387657103157925,0.8518148518148518,0.3282871765437413,0.5235276752711104
ks,BLOG003,validation,16868.0,0.3763750362585626,0.0387657103157925,0.8594738594738595,0.3416798201559286,0.5177940393179308
ks,BLOG003,validation,17451.0,0.3893834928710087,0.0387657103157925,0.8631368631368631,0.3553594489883771,0.507777414148486
ks,BLOG003,validation,18035.0,0.4024142624450543,0.0387657103157925,0.8707958707958708,0.3687760080355862,0.5020198627602847
ks,BLOG003,validation,18618.0,0.4154227190575005,0.0387657103157925,0.8774558774558775,0.3822403979528387,0.4952154795030387
ks,BLOG003,validation,19201.0,0.4284311756699466,0.0387657103157925,0.8841158841158842,0.3957047878700913,0.4884110962457928
ks,BLOG003,validation,19784.0,0.4414396322823928,0.0274058282715611,0.8887778887778888,0.4093126703974745,0.4794652183804142
