model_id,model_family,model_name,dataset_type,feature_count,features,params,selected_flag,notes,train_auc,train_gini,train_ks,train_pr_auc,train_log_loss,train_brier_score,train_accuracy,train_precision,train_recall,train_f1,train_true_negative,train_false_positive,train_false_negative,train_true_positive,train_threshold,validation_auc,validation_gini,validation_ks,validation_pr_auc,validation_log_loss,validation_brier_score,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_true_negative,validation_false_positive,validation_false_negative,validation_true_positive,validation_threshold,validation_auc_increment,validation_max_vif,validation_vif_flag,validation_num_features_above_vif_threshold,validation_auc_train_validation_gap
NN008,neural_network,MLPClassifier,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled","{'hidden_layer_sizes': (128,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 150, 'early_stopping': True, 'validation_fraction': 0.15, 'n_iter_no_change': 10, 'feature_set': 'all_features', 'n_layers': 1, 'n_iter_actual': 24, 'loss': np.float64(0.1778109351981357)}",False,mlp_classifier_scaled_features,0.8649689501963006,0.7299379003926012,0.570193200218759,0.3972272730760123,0.17880874366284633,0.04927088092278264,0.9370678855918831,0.6172090457804743,0.1597202397944619,0.25377026873795216,96873,694,5887,1119,0.5,0.8657406392016809,0.7314812784033617,0.5786644837441222,0.399701566587459,0.1784312682669342,0.04929249495133473,0.9371443871745097,0.6236702127659575,0.1561771561771562,0.24980026631158456,41531,283,2534,469,0.5,,,,,
NN009,neural_network,MLPClassifier,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled","{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 150, 'early_stopping': True, 'validation_fraction': 0.15, 'n_iter_no_change': 10, 'feature_set': 'all_features', 'n_layers': 2, 'n_iter_actual': 23, 'loss': np.float64(0.1757791629584853)}",False,mlp_classifier_scaled_features,0.8683031851794,0.7366063703588,0.5778002085048382,0.410644962065993,0.17625041499220884,0.04866413064457306,0.937737274439865,0.6131687242798354,0.19140736511561518,0.2917437180463396,96721,846,5665,1341,0.5,0.8656408362607243,0.7312816725214486,0.5805446765412328,0.4018313320807054,0.17753698484523395,0.0489939399365723,0.9370551353281121,0.5966029723991507,0.18714618714618714,0.28491761723700887,41434,380,2441,562,0.5,,,,,
NN010,neural_network,MLPClassifier,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled","{'hidden_layer_sizes': (64, 32, 16), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 200, 'early_stopping': True, 'validation_fraction': 0.15, 'n_iter_no_change': 10, 'feature_set': 'all_features', 'n_layers': 3, 'n_iter_actual': 15, 'loss': np.float64(0.17688479038245603)}",False,mlp_classifier_scaled_features,0.8590745181098257,0.7181490362196514,0.5605063457699744,0.38914109452274903,0.1812400829359973,0.0496477674095086,0.9370487601962265,0.5738735592036326,0.2345132743362832,0.33296179957442495,96347,1220,5363,1643,0.5,0.8605750167308497,0.7211500334616994,0.5692995959892215,0.40253852234994586,0.1804332926920896,0.049460797537204074,0.937166700136109,0.5749799518845229,0.23876123876123875,0.33741176470588236,41284,530,2286,717,0.5,,,,,
NN011,neural_network,MLPClassifier,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled","{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 200, 'early_stopping': True, 'validation_fraction': 0.15, 'n_iter_no_change': 10, 'feature_set': 'all_features', 'n_layers': 2, 'n_iter_actual': 14, 'loss': np.float64(0.17990752713673971)}",False,mlp_classifier_scaled_features,0.8575878024994418,0.7151756049988836,0.5522565459244896,0.38303062495097717,0.1813656871470764,0.04977112177976541,0.9369626959157717,0.6023738872403561,0.17385098487011133,0.26982720425343376,96763,804,5788,1218,0.5,0.8594999450574138,0.7189998901148276,0.5665287264512404,0.39300141081376605,0.18041492861085617,0.04958614469954651,0.9369435705201151,0.6057347670250897,0.16883116883116883,0.2640625,41484,330,2496,507,0.5,,,,,
NN012,neural_network,MLPClassifier,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled","{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'batch_size': 256, 'max_iter': 200, 'early_stopping': True, 'validation_fraction': 0.15, 'n_iter_no_change': 10, 'feature_set': 'all_features', 'n_layers': 2, 'n_iter_actual': 16, 'loss': np.float64(0.1784338592488183)}",False,mlp_classifier_scaled_features,0.8572443316662307,0.7144886633324614,0.5517701032960358,0.38232317099798335,0.1816817218771857,0.04989001637658406,0.9369053197288019,0.5801256873527101,0.2108192977447902,0.3092546063651591,96498,1069,5529,1477,0.5,0.8595680837394138,0.7191361674788277,0.5683301727210466,0.391680086272371,0.18040552469825377,0.0495931874741186,0.93676506682732,0.5788982259570495,0.20646020646020646,0.30436917034855177,41363,451,2383,620,0.5,,,,,
NN013,neural_network,MLPClassifier,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled","{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate_init': 0.0001, 'batch_size': 256, 'max_iter': 200, 'early_stopping': True, 'validation_fraction': 0.15, 'n_iter_no_change': 10, 'feature_set': 'all_features', 'n_layers': 2, 'n_iter_actual': 38, 'loss': np.float64(0.17953789164692718)}",False,mlp_classifier_scaled_features,0.8604035959379279,0.7208071918758558,0.5578150383998259,0.3873156501987836,0.18037494928102898,0.04958869089306977,0.937125261778853,0.6014117647058823,0.18241507279474736,0.2799255284196693,96720,847,5728,1278,0.5,0.8620351165551338,0.7240702331102675,0.5709421396033536,0.399186778569187,0.17928101684664144,0.0493280096140628,0.9372336390209073,0.6050884955752213,0.18215118215118214,0.2800102380342974,41457,357,2456,547,0.5,,,,,
NN014,neural_network,MLPClassifier,scaled,5,"RevolvingUtilization_capped_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, NumberOfTimes90DaysLate_scaled, age_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled","{'hidden_layer_sizes': (32,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 150, 'early_stopping': True, 'validation_fraction': 0.15, 'n_iter_no_change': 10, 'feature_set': 'top_5_permutation_features', 'n_layers': 1, 'n_iter_actual': 29, 'loss': np.float64(0.18116930785864097)}",False,mlp_classifier_scaled_features,0.8546454280606037,0.7092908561212075,0.55358614163383,0.382779085024449,0.1817517617247965,0.04977061602462336,0.936847943541832,0.5967276227141483,0.17699115044247787,0.27300748568912375,96729,838,5766,1240,0.5,0.8572252869497812,0.7144505738995623,0.5664757111162622,0.38739782135554424,0.18059582597230311,0.04958835490678137,0.9372559519825067,0.608646188850967,0.17815517815517815,0.27563111798042245,41470,344,2468,535,0.5,,,,,
NN015,neural_network,MLPClassifier,scaled,5,"RevolvingUtilization_capped_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, NumberOfTimes90DaysLate_scaled, age_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled","{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 150, 'early_stopping': True, 'validation_fraction': 0.15, 'n_iter_no_change': 10, 'feature_set': 'top_5_permutation_features', 'n_layers': 2, 'n_iter_actual': 19, 'loss': np.float64(0.18183431021289856)}",False,mlp_classifier_scaled_features,0.8554260272322847,0.7108520544645693,0.5537267917411495,0.3878653735867287,0.1814586674044895,0.049677817102971394,0.9368575062396604,0.5778292777134029,0.21353125892092492,0.31182907764460654,96474,1093,5510,1496,0.5,0.8576411192640208,0.7152822385280415,0.5649296654462388,0.3981378481539127,0.18040774196485299,0.049474092783999425,0.9369881964433139,0.5829471733086191,0.20945720945720947,0.3081822635962763,41364,450,2374,629,0.5,,,,,
NN016,neural_network,MLPClassifier,scaled,10,"RevolvingUtilization_capped_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, NumberOfTimes90DaysLate_scaled, age_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, DebtRatio_high_flag_scaled, MonthlyIncome_missing_flag_scaled, DebtRatio_log_scaled, RevolvingUtilization_log_scaled, DebtRatio_capped_scaled","{'hidden_layer_sizes': (32,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 150, 'early_stopping': True, 'validation_fraction': 0.15, 'n_iter_no_change': 10, 'feature_set': 'top_10_permutation_features', 'n_layers': 1, 'n_iter_actual': 14, 'loss': np.float64(0.18062067907450324)}",False,mlp_classifier_scaled_features,0.855768618837744,0.711537237675488,0.551676132721328,0.37938638584931045,0.18214686310017902,0.049885820697929836,0.9370105094049133,0.5829702970297029,0.2101056237510705,0.30888679047319273,96514,1053,5534,1472,0.5,0.8585723678276412,0.7171447356552825,0.5617495337684748,0.3901947809493254,0.18070927877385287,0.04955731658836794,0.9372559519825067,0.5891690009337068,0.2101232101232101,0.30976926853215514,41374,440,2372,631,0.5,,,,,
NN017,neural_network,MLPClassifier,scaled,10,"RevolvingUtilization_capped_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, NumberOfTimes90DaysLate_scaled, age_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, DebtRatio_high_flag_scaled, MonthlyIncome_missing_flag_scaled, DebtRatio_log_scaled, RevolvingUtilization_log_scaled, DebtRatio_capped_scaled","{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 150, 'early_stopping': True, 'validation_fraction': 0.15, 'n_iter_no_change': 10, 'feature_set': 'top_10_permutation_features', 'n_layers': 2, 'n_iter_actual': 21, 'loss': np.float64(0.18011260635826726)}",False,mlp_classifier_scaled_features,0.8579310670579222,0.7158621341158444,0.558529206867722,0.39132319727329923,0.18038671121090627,0.04945578903647775,0.937278264944106,0.6147919876733436,0.17085355409648872,0.26739640344018767,96817,750,5809,1197,0.5,0.8590225163621632,0.7180450327243264,0.5656071818361961,0.39599392731226823,0.17990474126393696,0.049347184871828896,0.9374344556753018,0.6208991494532199,0.17016317016317017,0.2671197072660742,41502,312,2492,511,0.5,,,,,
NN018,neural_network,MLPClassifier,scaled,12,"RevolvingUtilization_capped_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, NumberOfTimes90DaysLate_scaled, age_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, DebtRatio_high_flag_scaled, MonthlyIncome_missing_flag_scaled, DebtRatio_log_scaled, RevolvingUtilization_log_scaled, DebtRatio_capped_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberRealEstateLoansOrLines_scaled","{'hidden_layer_sizes': (32,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 150, 'early_stopping': True, 'validation_fraction': 0.15, 'n_iter_no_change': 10, 'feature_set': 'top_12_permutation_features', 'n_layers': 1, 'n_iter_actual': 34, 'loss': np.float64(0.17797301883374722)}",False,mlp_classifier_scaled_features,0.8630831215099102,0.7261662430198204,0.5680334730694924,0.38992287475475645,0.17904329783702366,0.049364953013419546,0.9370774482897115,0.5980662983425414,0.18541250356836997,0.28306820658095444,96694,873,5707,1299,0.5,0.8654998920818981,0.7309997841637963,0.5780738131147085,0.3971165207467464,0.1779290892976151,0.04915761773370048,0.9373675167905036,0.608167770419426,0.1834831834831835,0.28191353287285753,41459,355,2452,551,0.5,,,,,
NN019,neural_network,MLPClassifier,scaled,12,"RevolvingUtilization_capped_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, NumberOfTimes90DaysLate_scaled, age_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, DebtRatio_high_flag_scaled, MonthlyIncome_missing_flag_scaled, DebtRatio_log_scaled, RevolvingUtilization_log_scaled, DebtRatio_capped_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberRealEstateLoansOrLines_scaled","{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 150, 'early_stopping': True, 'validation_fraction': 0.15, 'n_iter_no_change': 10, 'feature_set': 'top_12_permutation_features', 'n_layers': 2, 'n_iter_actual': 18, 'loss': np.float64(0.1780608375169866)}",False,mlp_classifier_scaled_features,0.8634258257618534,0.7268516515237069,0.5676682482983995,0.396213087322259,0.17870667797341636,0.04919952945125705,0.9373260784332476,0.5926989335520919,0.2062517841849843,0.30601440067767893,96574,993,5561,1445,0.5,0.8653814139177893,0.7307628278355787,0.5791170612522313,0.4028736506213828,0.1777633092311294,0.04898871427743874,0.9371220742129103,0.5907752698724239,0.20046620046620048,0.2993535554450522,41397,417,2401,602,0.5,,,,,
T001,tree,DecisionTreeClassifier,tree,17,"RevolvingUtilization_capped, age, age_sq, NumberOfTime30-59DaysPastDueNotWorse, DebtRatio_capped, MonthlyIncome_median, NumberOfOpenCreditLinesAndLoans, NumberOfTimes90DaysLate, NumberRealEstateLoansOrLines, NumberOfTime60-89DaysPastDueNotWorse, NumberOfDependents_median, RevolvingUtilization_log, DebtRatio_log, MonthlyIncome_missing_flag, NumberOfDependents_missing_flag, DebtRatio_high_flag, RevolvingUtilization_high_flag","{'max_depth': 3, 'min_samples_leaf': 100, 'class_weight': None}",False,decision_tree_grid,0.7988994722324969,0.5977989444649938,0.5266872452969734,0.30443369658544106,0.19225826399734303,0.051418749365777526,0.9356908571046063,0.6098514464425332,0.11133314302026834,0.18829209414604708,97068,499,6226,780,0.5,0.7967323448382425,0.593464689676485,0.5234230542022191,0.2981636600299006,0.19347484695248468,0.05178370515765124,0.9356717317089497,0.6075268817204301,0.11288711288711288,0.19039595619208088,41595,219,2664,339,0.5,,,,,0.002167127394254398
T002,tree,DecisionTreeClassifier,tree,17,"RevolvingUtilization_capped, age, age_sq, NumberOfTime30-59DaysPastDueNotWorse, DebtRatio_capped, MonthlyIncome_median, NumberOfOpenCreditLinesAndLoans, NumberOfTimes90DaysLate, NumberRealEstateLoansOrLines, NumberOfTime60-89DaysPastDueNotWorse, NumberOfDependents_median, RevolvingUtilization_log, DebtRatio_log, MonthlyIncome_missing_flag, NumberOfDependents_missing_flag, DebtRatio_high_flag, RevolvingUtilization_high_flag","{'max_depth': 5, 'min_samples_leaf': 100, 'class_weight': None}",False,decision_tree_grid,0.844459031806513,0.6889180636130261,0.5517922990422055,0.365777111642074,0.1828053460052797,0.04981728137642219,0.9370870109875398,0.600850259801606,0.18155866400228377,0.2788556395922394,96722,845,5734,1272,0.5,0.8448140402509753,0.6896280805019506,0.5575467962467532,0.3552047538109061,0.18343134994514862,0.05019621773694933,0.9356494187473503,0.562303664921466,0.17882117882117882,0.2713491662455786,41396,418,2466,537,0.5,,,,,-0.0003550084444622348
T003,tree,DecisionTreeClassifier,tree,17,"RevolvingUtilization_capped, age, age_sq, NumberOfTime30-59DaysPastDueNotWorse, DebtRatio_capped, MonthlyIncome_median, NumberOfOpenCreditLinesAndLoans, NumberOfTimes90DaysLate, NumberRealEstateLoansOrLines, NumberOfTime60-89DaysPastDueNotWorse, NumberOfDependents_median, RevolvingUtilization_log, DebtRatio_log, MonthlyIncome_missing_flag, NumberOfDependents_missing_flag, DebtRatio_high_flag, RevolvingUtilization_high_flag","{'max_depth': 7, 'min_samples_leaf': 100, 'class_weight': None}",False,decision_tree_grid,0.857691932470358,0.715383864940716,0.5613814494899558,0.39210353160917544,0.17919035630469313,0.04908307865685895,0.9377563998355216,0.6034124011652101,0.20696545817870396,0.30821553831437987,96614,953,5556,1450,0.5,0.8534927867687231,0.7069855735374462,0.5712909561381365,0.3764846553970791,0.1816068165324206,0.04986976363703274,0.9359618002097418,0.5614035087719298,0.20246420246420246,0.2976015663240333,41339,475,2395,608,0.5,,,,,0.004199145701634932
