model_id,split,top_population_pct,top_bucket_bad_rate,top_bucket_default_capture,top_bucket_avg_pd,row_count
ET003,train,0.2,0.229224442956871,0.6842706251784185,0.18335671537168188,20914
ET003,validation,0.05,0.478125,0.35664335664335667,0.27990711508740085,2240
ET003,validation,0.1,0.3488060700736443,0.5204795204795205,0.22908185455120905,4481
ET003,validation,0.2,0.23440812228048644,0.6996336996336996,0.1830474065014065,8963
ET004,train,0.05,0.42387146136189746,0.3163003140165572,0.19889586974983287,5228
ET004,train,0.1,0.2994166586975232,0.4469026548672566,0.18301170644494608,10457
ET004,train,0.2,0.2142583915080807,0.6395946331715672,0.15953004470824986,20914
ET004,validation,0.05,0.43526785714285715,0.3246753246753247,0.19812601431091878,2240
ET004,validation,0.1,0.2990403927694711,0.4462204462204462,0.18235895398573831,4481
ET004,validation,0.2,0.21410242106437577,0.639027639027639,0.1591875066107386,8963
ET005,train,0.05,0.46078806426931906,0.34384813017413646,0.8199859877109394,5228
ET005,train,0.1,0.3217940135794205,0.4803025977733371,0.781885361384035,10457
ET005,train,0.2,0.22004398967199004,0.6568655438195832,0.732034919883882,20914
ET005,validation,0.05,0.4575892857142857,0.3413253413253413,0.8198796638674821,2240
ET005,validation,0.1,0.3231421557688016,0.4821844821844822,0.7812415630344416,4481
ET005,validation,0.2,0.22202387593439696,0.6626706626706627,0.7316236190099141,8963
GB001,train,0.05,0.5021040550879877,0.37467884670282614,0.4905689603458861,5228
GB001,train,0.1,0.3763985846801186,0.5618041678561233,0.3664211415638735,10457
GB001,train,0.2,0.24868509132638425,0.7423636882671996,0.24044194178116973,20914
GB001,validation,0.05,0.48526785714285714,0.361971361971362,0.49096431956008907,2240
GB001,validation,0.1,0.37380049096183887,0.5577755577755578,0.36719946546559973,4481
GB001,validation,0.2,0.2464576592658708,0.7355977355977356,0.24091567494155475,8963
GB002,train,0.05,0.5112853863810253,0.381530117042535,0.4913801413184425,5228
GB002,train,0.1,0.38567466768671704,0.5756494433342849,0.3677983552475313,10457
GB002,train,0.2,0.25346657741225975,0.7566371681415929,0.242670729379471,20914
GB002,validation,0.05,0.4830357142857143,0.3603063603063603,0.4920584023613878,2240
GB002,validation,0.1,0.3742468199062709,0.5584415584415584,0.36864707741414415,4481
GB002,validation,0.2,0.24545353118375543,0.7326007326007326,0.2431112014951434,8963
GB003,train,0.05,0.5026778882938026,0.37510705109905795,0.49262455518624687,5228
GB003,train,0.1,0.37725925217557615,0.5630887810448187,0.3673896232118316,10457
GB003,train,0.2,0.24897198049153677,0.7432200970596632,0.2412358404675566,20914
GB003,validation,0.05,0.4861607142857143,0.3626373626373626,0.4934084188757705,2240
GB003,validation,0.1,0.37357732648962283,0.5574425574425574,0.36817598582723376,4481
GB003,validation,0.2,0.24567667075755886,0.7332667332667333,0.24171321518987746,8963
GB004,train,0.05,0.5024866105585309,0.374964316300314,0.48929837638862445,5228
GB004,train,0.1,0.37515539829779093,0.5599486154724522,0.3657681872917419,10457
GB004,train,0.2,0.2477766089700679,0.7396517270910647,0.23999066782726625,20914
GB004,validation,0.05,0.484375,0.3613053613053613,0.48991366716951806,2240
GB004,validation,0.1,0.37380049096183887,0.5577755577755578,0.3666586563324176,4481
GB004,validation,0.2,0.24556510097065715,0.732933732933733,0.2405817982956983,8963
GNB001,train,0.05,0.3362662586074981,0.2509277761918356,0.3625146837264916,5228
GNB001,train,0.1,0.2603041025150617,0.38852412218098775,0.22708992469941475,10457
GNB001,train,0.2,0.20201778712823945,0.6030545246931202,0.12442036843075771,20914
GNB001,validation,0.05,0.33348214285714284,0.24875124875124874,0.36293212071881453,2240
GNB001,validation,0.1,0.2635572416871234,0.3932733932733933,0.22411926324982961,4481
GNB001,validation,0.2,0.20227602365279482,0.6037296037296037,0.12254870382262606,8963
GNB007,train,0.05,0.3678270849273145,0.27447901798458463,0.3087299359119965,5228
GNB007,train,0.1,0.27149277995601034,0.40522409363402795,0.20798070595437113,10457
GNB007,train,0.2,0.20560390169264608,0.6137596345989152,0.12442533867784378,20914
GNB007,validation,0.05,0.3821428571428571,0.28504828504828505,0.31311557382167204,2240
GNB007,validation,0.1,0.27627761660343675,0.41225441225441223,0.20939109073918574,4481
GNB007,validation,0.2,0.20573468704674774,0.614052614052614,0.12517705678930557,8963
GNB008,train,0.05,0.36476664116296864,0.2721952612046817,0.504446698640643,5228
GNB008,train,0.1,0.272927225781773,0.40736511561518696,0.3752278272450772,10457
GNB008,train,0.2,0.20531701252749354,0.6129032258064516,0.23709697619357142,20914
GNB008,validation,0.05,0.37857142857142856,0.28238428238428237,0.5072121314009068,2240
GNB008,validation,0.1,0.27828609685338096,0.41525141525141523,0.37381369886377164,4481
GNB008,validation,0.2,0.2052884078991409,0.6127206127206127,0.2355027326125372,8963
GNB009,train,0.05,0.3550114766641163,0.2649157864687411,0.3281387453926507,5228
GNB009,train,0.1,0.2740747824423831,0.4090779332001142,0.209995988433093,10457
GNB009,train,0.2,0.20617768002295114,0.6154724521838424,0.1186269261779963,20914
GNB009,validation,0.05,0.37142857142857144,0.27705627705627706,0.333923644102587,2240
GNB009,validation,0.1,0.27650078107565274,0.4125874125874126,0.21072664707797792,4481
GNB009,validation,0.2,0.20595782662055115,0.6147186147186147,0.11860070083400757,8963
GNB010,train,0.05,0.3494644223412395,0.260776477305167,0.3033145903007903,5228
GNB010,train,0.1,0.2739791527206656,0.40893519840137027,0.18733121227877922,10457
GNB010,train,0.2,0.2064167543272449,0.6161861261775621,0.1035199231108195,20914
GNB010,validation,0.05,0.3580357142857143,0.26706626706626707,0.31004748428100576,2240
GNB010,validation,0.1,0.27583128765900466,0.4115884115884116,0.18866870644699324,4481
GNB010,validation,0.2,0.20629253598125627,0.6157176157176157,0.10387975294645803,8963
LASSOSTACK001,train,0.05,0.5214231063504208,0.38909506137596345,0.5348647171004015,5228
LASSOSTACK001,train,0.1,0.3741034713588983,0.5583785326862689,0.3813085231238973,10457
LASSOSTACK001,train,0.2,0.24251697427560487,0.7239508992292321,0.240856942961785,20914
LASSOSTACK001,validation,0.05,0.47901785714285716,0.3573093573093573,0.5365353832158295,2240
LASSOSTACK001,validation,0.1,0.36978353046195045,0.5517815517815517,0.3824106307328428,4481
LASSOSTACK001,validation,0.2,0.24311056565881958,0.7256077256077256,0.24156884807869156,8963
LGB001,train,0.05,0.5156847742922723,0.38481301741364543,0.4967619258586717,5228
LGB001,train,0.1,0.38701348379076217,0.5776477305166999,0.36927494086514207,10457
LGB001,train,0.2,0.2535143922731185,0.7567799029403368,0.24289905941703754,20914
LGB001,validation,0.05,0.48125,0.358974358974359,0.4979361428162095,2240
LGB001,validation,0.1,0.37290783307297476,0.5564435564435565,0.37011282992436434,4481
LGB001,validation,0.2,0.24612294990516567,0.7345987345987346,0.243589252687939,8963
LGB002,train,0.05,0.5497322111706198,0.41021981159006565,0.5012172606632553,5228
LGB002,train,0.1,0.4068088361862867,0.6071938338566942,0.37344443247623144,10457
LGB002,train,0.2,0.26307736444486945,0.7853268626891237,0.24613555423457145,20914
LGB002,validation,0.05,0.4799107142857143,0.35797535797535796,0.4993086922620283,2240
LGB002,validation,0.1,0.3731309975451908,0.5567765567765568,0.37236468264450767,4481
LGB002,validation,0.2,0.24589981033136227,0.733932733932734,0.24566387731764144,8963
LGB003,train,0.05,0.5147283856159143,0.3840993434199258,0.4967363141635547,5228
LGB003,train,0.1,0.3832839246437793,0.5720810733656866,0.36912131772554846,10457
LGB003,train,0.2,0.25231902075164964,0.7532115329717385,0.24320014640514953,20914
LGB003,validation,0.05,0.48482142857142857,0.36163836163836166,0.4975878231959839,2240
LGB003,validation,0.1,0.3742468199062709,0.5584415584415584,0.37008777083302774,4481
LGB003,validation,0.2,0.2448956822492469,0.7309357309357309,0.2439975568136827,8963
LGB004,train,0.05,0.5116679418515685,0.38181558664002285,0.49465995200383767,5228
LGB004,train,0.1,0.38089318160084157,0.5685127033970883,0.36808948621859827,10457
LGB004,train,0.2,0.2512192789518983,0.749928632600628,0.24296848358625941,20914
LGB004,validation,0.05,0.48660714285714285,0.36297036297036295,0.496345346753663,2240
LGB004,validation,0.1,0.37357732648962283,0.5574425574425574,0.3695317715658323,4481
LGB004,validation,0.2,0.2447841124623452,0.7306027306027306,0.24388332343772445,8963
LRSTACK001,train,0.05,0.5210405508798776,0.38880959177847557,0.5357326536552196,5228
LRSTACK001,train,0.1,0.3739122119154633,0.558093063088781,0.38262045660315974,10457
