model_id,split,mean_abs_calibration_error,max_abs_calibration_error,mean_squared_calibration_error
NN011,train,0.004651340313130592,0.017552516581871125,4.393155011293984e-05
NN011,validation,0.00537534559571278,0.02150702153944939,6.19512250654744e-05
NN012,train,0.005263703302039391,0.015477553643391706,4.6231124236815915e-05
NN012,validation,0.004588023769770339,0.010807534785257589,3.05356364667027e-05
NN013,train,0.005082342779862988,0.01646727513366658,4.686476549377991e-05
NN013,validation,0.004909443382448438,0.019191965478371376,5.690507908395085e-05
NN014,train,0.0021559990293752293,0.005312096806031785,7.478603228318245e-06
NN014,validation,0.0028816556239582266,0.01621412881160278,2.86348935005703e-05
NN015,train,0.004971567976699937,0.020443741307389185,5.668391072309431e-05
NN015,validation,0.0051716816504803805,0.0122936490473948,4.5027706778337964e-05
NN016,train,0.004351491989489432,0.01246995419843433,2.8519160120953696e-05
NN016,validation,0.004696686652918931,0.0139172111609637,3.356660999947246e-05
NN017,train,0.0027949557032663935,0.016162727014721323,2.9059525406272408e-05
NN017,validation,0.0039257565975693316,0.022044976817138906,5.296712881160556e-05
NN018,train,0.003126717653138889,0.008660844421539707,1.9261542584469525e-05
NN018,validation,0.003320491834250047,0.013706036986780468,2.8927440959730206e-05
NN019,train,0.004226043981386676,0.011218791170513165,2.965790582356845e-05
NN019,validation,0.004578147140902021,0.010113637551238695,3.102719028984067e-05
NNSTACK001,train,0.00883562086852438,0.020037472695718296,0.00010876393119160882
NNSTACK001,validation,0.00934074742229311,0.02612609847206101,0.00014254721888193499
RASTACK001,train,0.4330106303469636,0.7204351399750217,0.23136885677367394
RASTACK001,validation,0.43300846631888124,0.7152072180772988,0.23135274286799595
RF001,train,0.012518605001635711,0.06191242150658949,0.00044238582524399017
RF001,validation,0.012749547057400043,0.06256412238634862,0.00045026725220889756
RF002,train,0.008981510546079421,0.04504769102313322,0.000230350360132334
RF002,validation,0.00901355031924318,0.04436840924919949,0.00023084695220958691
RF003,train,0.008127665377672944,0.039775607432351034,0.0001823103942677538
RF003,validation,0.0070547367240054865,0.03474560927024245,0.00014674851955239426
RF004,train,0.010126311955521692,0.05070509413476243,0.00029396236187032194
