pd_band,predicted_pd,actual_default_rate,count,abs_error,split,model_id
"(-0.001, 0.05]",0.0036160288309920246,0.029576098230118104,89667,0.025960069399126078,train,WGNB012
"(0.05, 0.1]",0.06750913007427897,0.1324228028503563,1684,0.06491367277607732,train,WGNB012
"(0.1, 0.2]",0.12547912320041738,0.16322701688555347,1599,0.03774789368513609,train,WGNB012
"(0.2, 0.4]",0.29393573763967273,0.181169757489301,701,0.11276598015037173,train,WGNB012
"(0.4, 1.0]",0.9526251668029309,0.34270280168467315,10922,0.6099223651182577,train,WGNB012
"(-0.001, 0.05]",0.004182810519776013,0.028706948027805632,88759,0.02452413750802962,train,WGNB013
"(0.05, 0.1]",0.07055333399421898,0.12343297974927676,2074,0.05287964575505778,train,WGNB013
"(0.1, 0.2]",0.13777970420994112,0.1571830985915493,1775,0.01940339438160818,train,WGNB013
"(0.2, 0.4]",0.2936139628476126,0.17395944503735325,937,0.11965451781025935,train,WGNB013
"(0.4, 1.0]",0.9511501846778869,0.3409503083061299,11028,0.6101998763717571,train,WGNB013
"(-0.001, 0.05]",0.004299475344642549,0.028591770542565575,88487,0.024292295197923024,train,WGNB014
"(0.05, 0.1]",0.07089889360363473,0.11850501367365543,2194,0.0476061200700207,train,WGNB014
"(0.1, 0.2]",0.1416981239687108,0.1472463768115942,1725,0.0055482528428834055,train,WGNB014
"(0.2, 0.4]",0.2861110329792708,0.17222222222222222,1080,0.1138888107570486,train,WGNB014
"(0.4, 1.0]",0.9491597215376731,0.3405790565527194,11087,0.6085806649849537,train,WGNB014
"(-0.001, 0.05]",0.022348668804926367,0.02223799749996142,64799,0.00011067130496494881,train,WLOG001
"(0.05, 0.1]",0.0585900127649527,0.05681613542229425,11106,0.0017738773426584503,train,WLOG001
"(0.1, 0.2]",0.15346643072056756,0.1553118002049569,26347,0.0018453694843893476,train,WLOG001
"(0.2, 0.4]",0.3721447126872954,0.36277466609220166,2321,0.009370046595093717,train,WLOG001
"(-0.001, 0.05]",0.02506338359002543,0.022811849264458926,74435,0.002251534325566504,train,WLOG002
"(0.05, 0.1]",0.07396492615796436,0.08740581270182993,9290,0.013440886543865563,train,WLOG002
"(0.1, 0.2]",0.12266321885188684,0.12885813148788927,14450,0.006194912636002428,train,WLOG002
"(0.2, 0.4]",0.24548510471665486,0.29606048547552727,2513,0.05057538075887241,train,WLOG002
"(0.4, 1.0]",0.5312446069256743,0.4864864864864865,3885,0.04475812043918781,train,WLOG002
"(-0.001, 0.05]",0.021447729002614335,0.018159146935733533,69772,0.003288582066880801,train,WLOG003
"(0.05, 0.1]",0.07384775645747467,0.08283187454412837,21936,0.008984118086653697,train,WLOG003
"(0.1, 0.2]",0.15630139452508057,0.17036671600065778,6081,0.014065321475577208,train,WLOG003
"(0.2, 0.4]",0.29758073463070267,0.3314151190164792,3823,0.03383438438577652,train,WLOG003
"(0.4, 1.0]",0.6084109212354726,0.5467747382641,2961,0.06163618297137263,train,WLOG003
