model_id,split,threshold,approval_rate,rejection_rate,approved_bad_rate,rejected_bad_rate,captured_bad_share_rejected,avg_approved_pd,avg_rejected_pd
BLOG001,train,0.54,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.55,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.56,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.57,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.58,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.59,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.6,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.61,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.62,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.63,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.64,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.65,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.66,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.67,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.68,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.69,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.7,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.71,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.72,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.73,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.74,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.75,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.76,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.77,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.78,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.79,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.8,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.81,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.82,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.83,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.84,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.85,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.86,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.87,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.88,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.89,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.9,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.91,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.92,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.93,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.94,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.95,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.96,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.97,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.98,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,train,0.99,1.0,0.0,0.06699626098514913,,0.0,0.06699626098514917,
BLOG001,validation,0.01,0.0,1.0,,0.06700582368297744,1.0,,0.06716359258703701
BLOG001,validation,0.02,0.251913336457148,0.748086663542852,0.01479185119574845,0.08458854057923465,0.9443889443889444,0.01400949403728174,0.08506289084297215
BLOG001,validation,0.03,0.4954369993529241,0.5045630006470759,0.019500990812466222,0.1136514394374917,0.8558108558108558,0.019003429904677144,0.1144526852416657
BLOG001,validation,0.04,0.6197201954615437,0.3802798045384564,0.022323035932886873,0.13982280115003226,0.7935397935397935,0.022170586175984597,0.14048611562057395
BLOG001,validation,0.05,0.6197201954615437,0.3802798045384564,0.022323035932886873,0.13982280115003226,0.7935397935397935,0.022170586175984597,0.14048611562057395
BLOG001,validation,0.06,0.7251266260570766,0.27487337394292344,0.028155578804849528,0.16949427713288417,0.6953046953046953,0.027206759929433017,0.17257126753685556
BLOG001,validation,0.07,0.7251266260570766,0.27487337394292344,0.028155578804849528,0.16949427713288417,0.6953046953046953,0.027206759929433017,0.17257126753685556
BLOG001,validation,0.08,0.7251266260570766,0.27487337394292344,0.028155578804849528,0.16949427713288417,0.6953046953046953,0.027206759929433017,0.17257126753685556
BLOG001,validation,0.09,0.7251266260570766,0.27487337394292344,0.028155578804849528,0.16949427713288417,0.6953046953046953,0.027206759929433017,0.17257126753685556
