decile,predicted_pd,actual_default_rate,count,split,model_id
9,0.007185663864412318,0.0038248231019315355,10458,train,CAT004
0,0.45015824001585536,0.3616370242876267,10458,train,EASTACK001
1,0.18473455551388257,0.11714640910394951,10457,train,EASTACK001
2,0.0950606104494996,0.06980969685378216,10457,train,EASTACK001
3,0.049987252772587705,0.042459596442574354,10457,train,EASTACK001
4,0.029582196135287297,0.02763698957636033,10457,train,EASTACK001
5,0.01980755503868315,0.019219736087205966,10458,train,EASTACK001
6,0.01450809321060351,0.012910012431863823,10457,train,EASTACK001
7,0.011009153580815572,0.008797934398010902,10457,train,EASTACK001
8,0.00837660128341648,0.0065028210767906665,10457,train,EASTACK001
9,0.0061997467215002865,0.0038248231019315355,10458,train,EASTACK001
0,0.18306134732328452,0.3168865939950277,10458,train,ET001
1,0.12839781300422257,0.11953715214688725,10457,train,ET001
2,0.08930969534768167,0.08472793344171368,10457,train,ET001
3,0.06341421308115348,0.058525389691116,10457,train,ET001
4,0.0484986935053371,0.03299225399254088,10457,train,ET001
5,0.0402343662665581,0.021036527060623447,10458,train,ET001
6,0.03579058030746549,0.012049344936406236,10457,train,ET001
7,0.03155107779860509,0.012527493544993783,10457,train,ET001
8,0.027422888668138797,0.006980969685378215,10457,train,ET001
9,0.02227767093600304,0.004685408299866131,10458,train,ET001
0,0.20919095402510765,0.3352457448842991,10458,train,ET002
1,0.13694753243527036,0.11255618246150904,10457,train,ET002
2,0.09232509926936826,0.08291096872908099,10457,train,ET002
3,0.06193858393434558,0.052787606388065414,10457,train,ET002
4,0.044122513280324696,0.0322272162188008,10457,train,ET002
5,0.034061419181570664,0.020654044750430294,10458,train,ET002
6,0.028937652688327174,0.012718752988428804,10457,train,ET002
7,0.024950239983027634,0.010136750502056039,10457,train,ET002
8,0.020903776412948872,0.0065028210767906665,10457,train,ET002
9,0.016579211520441377,0.004207305412124689,10458,train,ET002
0,0.22962238418379233,0.346815834767642,10458,train,ET003
1,0.13707987947546524,0.11159988524433394,10457,train,ET003
2,0.09152381984688358,0.08157215262503587,10457,train,ET003
3,0.060079683231035144,0.04810175002390743,10457,train,ET003
4,0.04196454960524253,0.03127091900162571,10457,train,ET003
5,0.03160194413041582,0.01960221839739912,10458,train,ET003
6,0.025618239352194313,0.012240604379841254,10457,train,ET003
7,0.021561356109548832,0.008797934398010902,10457,train,ET003
8,0.01747032236714833,0.006980969685378215,10457,train,ET003
9,0.013433386610301343,0.00296423790399694,10458,train,ET003
0,0.1830094294677053,0.29938802830369093,10458,train,ET004
1,0.13604393189745395,0.12910012431863824,10457,train,ET004
2,0.09259743928074629,0.08960504924930668,10457,train,ET004
3,0.06428462353149621,0.059577316630008606,10457,train,ET004
4,0.048696177457172245,0.036052405087501196,10457,train,ET004
5,0.03869236891731466,0.021132147638171735,10458,train,ET004
6,0.033254761511841965,0.013005642153581333,10457,train,ET004
7,0.029026122888136368,0.011284307162666157,10457,train,ET004
8,0.024604491550671327,0.006694080520225686,10457,train,ET004
9,0.01974939394000448,0.004111684834576401,10458,train,ET004
0,0.7818801601912995,0.3217632434499904,10458,train,ET005
1,0.6821743657386146,0.11829396576455962,10457,train,ET005
2,0.5516806646634563,0.08606674954575882,10457,train,ET005
3,0.42375447557947216,0.05747346275222339,10457,train,ET005
4,0.33014748776127945,0.03194032705364827,10457,train,ET005
5,0.2540148330491616,0.02256645630139606,10458,train,ET005
6,0.21442184885621468,0.011666826049536196,10457,train,ET005
7,0.18717802679994075,0.00984986133690351,10457,train,ET005
8,0.15620123214899662,0.006980969685378215,10457,train,ET005
9,0.12139441713791513,0.0033467202141900937,10458,train,ET005
0,0.36640187352060766,0.3764582138076114,10458,train,GB001
1,0.1144549729853921,0.1209715979726499,10457,train,GB001
2,0.06584257199801555,0.06426317299416659,10457,train,GB001
3,0.0416970850688277,0.04035574256478914,10457,train,GB001
4,0.027746312746614647,0.02419431959452998,10457,train,GB001
5,0.01812064168087965,0.017691498517739313,10457,train,GB001
6,0.013142348287648648,0.011952572193536048,10458,train,GB001
7,0.01029051800440921,0.006885339963660706,10457,train,GB001
8,0.008150742599322117,0.004781943381790359,10456,train,GB001
9,0.006188223706638103,0.002390285878191032,10459,train,GB001
0,0.36777967820575513,0.38563778925224707,10458,train,GB002
1,0.11753455354513165,0.12135411685951994,10457,train,GB002
2,0.064628402971915,0.06397628382901406,10457,train,GB002
3,0.04076020775813267,0.03844314813043894,10457,train,GB002
4,0.027544644409969513,0.022568614325332314,10457,train,GB002
5,0.018153881757980852,0.016829221648498757,10458,train,GB002
6,0.01286258060233523,0.010614899110643589,10457,train,GB002
7,0.009764321301249301,0.004877115807593,10457,train,GB002
8,0.007600863353324433,0.003825188868700392,10457,train,GB002
9,0.005477623279976586,0.0018167909734174794,10458,train,GB002
