model_id,split,risk_band,applicant_count,default_count,actual_default_rate,min_pd,mean_pd,max_pd,min_percentile,max_percentile,total_applicants,applicant_pct
GB002,validation,Low Risk,8963,49,0.005466919558183644,0.0035419032672324,0.006539439026863768,0.0085962992167222,2.2312961599393088e-05,0.19999107481536024,44817,0.19999107481536024
GB002,validation,Medium Risk,13445,172,0.012792859799181853,0.008596302283993,0.013582759218680763,0.0221531988825884,0.20001338777695962,0.4999888435192003,44817,0.29999776870384004
GB002,validation,High Risk,13445,582,0.043287467460022315,0.0221580019786666,0.04445005364460035,0.0829378961230678,0.5000111564807997,0.7999866122230403,44817,0.29999776870384004
GB002,validation,Very High Risk,6723,1118,0.16629480886509,0.0829517729533559,0.16012870878128121,0.3323903597275244,0.8000089251846397,0.9499966530557601,44817,0.15001004083271974
GB002,validation,Extreme Risk,2241,1082,0.4828201695671575,0.3325203478609472,0.49198721179713056,0.8268499027097891,0.9500189660173595,1.0,44817,0.050003346944239906
GB003,train,Low Risk,20914,72,0.003442669981830353,0.0033678546102475,0.006776580814743224,0.0088271687917114,9.562697828311323e-06,0.19999426238130302,104573,0.19999426238130302
GB003,train,Medium Risk,31373,370,0.011793580467280783,0.0088275774146947,0.013721873816141915,0.0220475375446846,0.20000382507913134,0.5,104573,0.30001051896761116
GB003,train,High Risk,31371,1357,0.04325651079022027,0.0220516459422243,0.04494176790375905,0.0834745048370255,0.5000143440467425,0.7999961749208687,104573,0.29999139357195453
GB003,train,Very High Risk,15686,2578,0.1643503761315823,0.0834746278373295,0.15743421963934845,0.3354794857328328,0.800005737618697,0.9499966530557601,104573,0.15000047813489142
GB003,train,Extreme Risk,5229,2629,0.5027729967489004,0.3354983897974666,0.492594506196882,0.8219129104357238,0.9500062157535885,1.0,104573,0.050003346944239906
GB003,validation,Low Risk,8963,47,0.00524377998438023,0.0033754656303799,0.006778575658603124,0.0088423016619984,2.2312961599393088e-05,0.19999107481536024,44817,0.19999107481536024
GB003,validation,Medium Risk,13445,174,0.01294161398289327,0.0088424245417353,0.013751351654934806,0.0220789747037749,0.20001338777695962,0.4999888435192003,44817,0.29999776870384004
GB003,validation,High Risk,13445,580,0.04313871327631089,0.0220797309622424,0.04506399468786778,0.0838831173040137,0.5000111564807997,0.7999866122230403,44817,0.29999776870384004
