model_id,split,top_population_share,top_population_count,overall_default_rate,top_group_default_rate,top_group_default_count,default_capture_share,lift_vs_overall
BLOG003,validation,0.49,21960,0.06700582368297744,0.12372495446265938,2717,0.9047619047619048,1.8464806141035648
BLOG003,validation,0.5,22408,0.06700582368297744,0.12187611567297393,2731,0.9094239094239094,1.8188884036349227
BLOG004,validation,0.01,448,0.06700582368297744,0.640625,287,0.09557109557109557,9.560736138861138
BLOG004,validation,0.02,896,0.06700582368297744,0.5982142857142857,536,0.1784881784881785,8.927795418866847
BLOG004,validation,0.03,1344,0.06700582368297744,0.5550595238095238,746,0.24841824841824842,8.283750475714761
BLOG004,validation,0.04,1792,0.06700582368297744,0.5111607142857143,916,0.305028305028305,7.628601309404881
BLOG004,validation,0.05,2240,0.06700582368297744,0.47276785714285713,1059,0.35264735264735264,7.05562339446268
BLOG004,validation,0.06,2689,0.06700582368297744,0.4447750092971365,1196,0.39826839826839827,6.637856007882039
BLOG004,validation,0.07,3137,0.06700582368297744,0.42110296461587504,1321,0.4398934398934399,6.284572615780776
BLOG004,validation,0.08,3585,0.06700582368297744,0.403068340306834,1445,0.4811854811854812,6.015422513330463
BLOG004,validation,0.09,4033,0.06700582368297744,0.37986610463674686,1532,0.5101565101565102,5.66915058658178
BLOG004,validation,0.1,4481,0.06700582368297744,0.35884847132336534,1608,0.5354645354645354,5.355481831268486
BLOG004,validation,0.11,4929,0.06700582368297744,0.34165145059849866,1684,0.5607725607725608,5.098832188302668
BLOG004,validation,0.12,5378,0.06700582368297744,0.32651543324656007,1756,0.5847485847485847,4.872941116154206
BLOG004,validation,0.13,5826,0.06700582368297744,0.3125643666323378,1821,0.6063936063936064,4.664734338781712
BLOG004,validation,0.14,6274,0.06700582368297744,0.2996493465094039,1880,0.626040626040626,4.471989597906078
BLOG004,validation,0.15,6722,0.06700582368297744,0.2868193989883963,1928,0.642024642024642,4.2805144870006515
BLOG004,validation,0.16,7170,0.06700582368297744,0.27433751743375173,1967,0.655011655011655,4.094233939003813
BLOG004,validation,0.17,7618,0.06700582368297744,0.26253609871357314,2000,0.666000666000666,3.918108670012057
BLOG004,validation,0.18,8067,0.06700582368297744,0.2521383413908516,2034,0.6773226773226774,3.7629317502876445
BLOG004,validation,0.19,8515,0.06700582368297744,0.24333529066353493,2072,0.6899766899766899,3.6315543528696783
BLOG004,validation,0.2,8963,0.06700582368297744,0.2353006805757001,2109,0.7022977022977023,3.5116452218984855
