model_id,split,threshold,predicted_0_count,predicted_1_count,predicted_1_share,actual_1_count,true_positive_count,false_positive_count,false_negative_count,true_negative_count
BLOG002,validation,0.98,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.99,44817,0,0.0,3003,0,0,3003,41814
BLOG003,validation,0.01,0,44817,1.0,3003,3003,41814,0,0
BLOG003,validation,0.02,17391,27426,0.6119552848249549,3003,2818,24608,185,17206
BLOG003,validation,0.03,25441,19376,0.4323359439498405,3003,2660,16716,343,25098
BLOG003,validation,0.04,29177,15640,0.34897471941450786,3003,2538,13102,465,28712
BLOG003,validation,0.05,30127,14690,0.3277774058950845,3003,2461,12229,542,29585
BLOG003,validation,0.06,30817,14000,0.3123814623915032,3003,2412,11588,591,30226
BLOG003,validation,0.07,33812,11005,0.24555414240132092,3003,2254,8751,749,33063
BLOG003,validation,0.08,33956,10861,0.24234107593100832,3003,2230,8631,773,33183
BLOG003,validation,0.09,39222,5595,0.12484102014860432,3003,1755,3840,1248,37974
BLOG003,validation,0.1,39243,5574,0.12437244795501706,3003,1747,3827,1256,37987
BLOG003,validation,0.11,39332,5485,0.12238659437267109,3003,1732,3753,1271,38061
BLOG003,validation,0.12,39397,5420,0.12093625186871053,3003,1717,3703,1286,38111
BLOG003,validation,0.13,39552,5265,0.1174777428208046,3003,1689,3576,1314,38238
BLOG003,validation,0.14,40121,4696,0.10478166767074994,3003,1617,3079,1386,38735
BLOG003,validation,0.15,40585,4232,0.09442845348863155,3003,1530,2702,1473,39112
BLOG003,validation,0.16,40620,4197,0.09364749983265279,3003,1522,2675,1481,39139
BLOG003,validation,0.17,40708,4109,0.0916839592119062,3003,1497,2612,1506,39202
BLOG003,validation,0.18,40708,4109,0.0916839592119062,3003,1497,2612,1506,39202
BLOG003,validation,0.19,41804,3013,0.06722895329897137,3003,1281,1732,1722,40082
BLOG003,validation,0.2,41807,3010,0.06716201441417319,3003,1280,1730,1723,40084
BLOG003,validation,0.21,41826,2991,0.06673806814378472,3003,1276,1715,1727,40099
BLOG003,validation,0.22,41843,2974,0.06635874779659504,3003,1268,1706,1735,40108
BLOG003,validation,0.23,41941,2876,0.06417207755985452,3003,1239,1637,1764,40177
BLOG003,validation,0.24,41941,2876,0.06417207755985452,3003,1239,1637,1764,40177
BLOG003,validation,0.25,42333,2484,0.055425396612892426,3003,1121,1363,1882,40451
BLOG003,validation,0.26,42342,2475,0.05522457995849789,3003,1117,1358,1886,40456
BLOG003,validation,0.27,42342,2475,0.05522457995849789,3003,1117,1358,1886,40456
BLOG003,validation,0.28,42360,2457,0.05482294664970882,3003,1113,1344,1890,40470
BLOG003,validation,0.29,42576,2241,0.050003346944239906,3003,1027,1214,1976,40600
BLOG003,validation,0.3,42965,1852,0.041323604882075995,3003,905,947,2098,40867
BLOG003,validation,0.31,42965,1852,0.041323604882075995,3003,905,947,2098,40867
BLOG003,validation,0.32,43226,1591,0.0354999219046344,3003,813,778,2190,41036
BLOG003,validation,0.33,43227,1590,0.03547760894303501,3003,812,778,2191,41036
BLOG003,validation,0.34,43233,1584,0.03534373117343865,3003,810,774,2193,41040
BLOG003,validation,0.35,43237,1580,0.03525447932704108,3003,809,771,2194,41043
BLOG003,validation,0.36,43243,1574,0.03512060155744472,3003,805,769,2198,41045
BLOG003,validation,0.37,43318,1499,0.03344712943749024,3003,768,731,2235,41083
BLOG003,validation,0.38,43344,1473,0.03286699243590602,3003,762,711,2241,41103
BLOG003,validation,0.39,43493,1324,0.02954236115759645,3003,703,621,2300,41193
BLOG003,validation,0.4,43493,1324,0.02954236115759645,3003,703,621,2300,41193
BLOG003,validation,0.41,43534,1283,0.02862752973202133,3003,693,590,2310,41224
BLOG003,validation,0.42,43536,1281,0.028582903808822543,3003,692,589,2311,41225
BLOG003,validation,0.43,43578,1239,0.027645759421648035,3003,673,566,2330,41248
BLOG003,validation,0.44,43581,1236,0.027578820536849857,3003,672,564,2331,41250
BLOG003,validation,0.45,43749,1068,0.02383024298815182,3003,580,488,2423,41326
BLOG003,validation,0.46,43763,1054,0.023517861525760315,3003,571,483,2432,41331
BLOG003,validation,0.47,43765,1052,0.023473235602561527,3003,570,482,2433,41332
BLOG003,validation,0.48,43765,1052,0.023473235602561527,3003,570,482,2433,41332
BLOG003,validation,0.49,43955,862,0.01923377289867684,3003,495,367,2508,41447
BLOG003,validation,0.5,43979,838,0.01869826182029141,3003,486,352,2517,41462
BLOG003,validation,0.51,43981,836,0.01865363589709262,3003,485,351,2518,41463
BLOG003,validation,0.52,43990,827,0.018452819242698083,3003,482,345,2521,41469
BLOG003,validation,0.53,43990,827,0.018452819242698083,3003,482,345,2521,41469
BLOG003,validation,0.54,44013,804,0.017939621125912044,3003,471,333,2532,41481
BLOG003,validation,0.55,44013,804,0.017939621125912044,3003,471,333,2532,41481
BLOG003,validation,0.56,44013,804,0.017939621125912044,3003,471,333,2532,41481
BLOG003,validation,0.57,44032,785,0.017515674855523574,3003,460,325,2543,41489
BLOG003,validation,0.58,44054,763,0.017024789700336926,3003,450,313,2553,41501
BLOG003,validation,0.59,44166,651,0.0145257380012049,3003,395,256,2608,41558
BLOG003,validation,0.6,44230,587,0.013097708458843742,3003,359,228,2644,41586
BLOG003,validation,0.61,44236,581,0.012963830689247384,3003,356,225,2647,41589
