model_id,split,count,mean,std,min,max,p01,p05,p25,p50,p75,p95,p99
EASTACK001,train,104573,0.08694445968769286,0.13899820011478803,0.003579664449841,0.8971987007564111,0.0052781428476041965,0.00625992481355536,0.0109945233629238,0.0238000531399235,0.093403050574471,0.4275561698069511,0.6345694400613469
EASTACK001,validation,44817,0.08709910572928906,0.13909141024453514,0.003529930612903,0.8929250605397054,0.0052436313967405635,0.0062407402618404806,0.0109648669301659,0.0236930828104084,0.0935330503527421,0.428142298315353,0.63349706590665
ET001,train,104573,0.06699626098514909,0.05277864515968402,0.0165861199176716,0.5531896329680657,0.018788483955331444,0.02302074171184538,0.0314726602834286,0.0435061633554862,0.0888087179139769,0.166832304828379,0.2321361635083586
ET001,validation,44817,0.06711610972429316,0.05308793266845915,0.0166085697494206,0.5528796030005872,0.018821215608741438,0.02299668200548726,0.0314171435089587,0.0435181319586023,0.0897463329104273,0.16624743614357954,0.23018767290156056
ET002,train,104573,0.06699626098514908,0.06283159272219614,0.0107271813053371,0.559837608106895,0.014007256315063632,0.017072858798617557,0.0249818003162713,0.0381411857618643,0.0914707088444494,0.19123188945014272,0.28099765526463066
ET002,validation,44817,0.06715105794443023,0.06305861867079217,0.0107638895527791,0.5592277303676243,0.014012929730549488,0.01706894035284992,0.0249670524989939,0.0381265026712706,0.0928820111370045,0.19063259225957233,0.27921835750675017
ET003,train,104573,0.06699626098514909,0.06952966240661232,0.007180404818914,0.5610481644893733,0.011459458647025524,0.013645465521632061,0.0216105559502364,0.0359132722883384,0.0909472423434301,0.2109947831957366,0.3221518508503758
ET003,validation,44817,0.06707993095821854,0.06953569024350531,0.0072833794105546,0.5617018565666346,0.01142033193949734,0.01365220380735746,0.0215506759233556,0.0358848963431117,0.0923285748304036,0.21028121193481705,0.31922864974444903
ET004,train,104573,0.06699626098514909,0.05242943820611686,0.0156704238239494,0.2868499231990819,0.016810247436992484,0.020244774321346522,0.0290845371334092,0.0427537051834673,0.0917154460327099,0.17571992592013938,0.21464524651152744
ET004,validation,44817,0.06705567016585377,0.05231928811994483,0.0157627581890399,0.2881217554419928,0.0168454078795015,0.02027255490606052,0.0290789164682209,0.0427651762397405,0.0928629421397773,0.17528763559014024,0.21276047324559624
ET005,train,104573,0.3702851952380082,0.2214831013222492,0.0848904883258977,0.9410906821863264,0.0999012435669116,0.12442900471957953,0.1876766668092612,0.2889793926765866,0.5509459704656628,0.7718577464057744,0.8518513747720903
ET005,validation,44817,0.3706417943264847,0.2217700936796433,0.0861096319974385,0.941020298631916,0.09978643339871976,0.1248297745670607,0.187864841254616,0.2884242609793672,0.5550019639605761,0.7696835282396659,0.8503453331321269
GB001,train,104573,0.06720527099455524,0.11542378235148824,0.0043003209314669,0.8353821287155775,0.0053380582825467,0.006233516873978,0.0102639356875078,0.022065898949044,0.0649076558943417,0.33289796095806284,0.5957605734621514
GB001,validation,44817,0.06733264620139116,0.11550392589471821,0.0043345331375898,0.8347908676857076,0.005317414544995872,0.006233516873978,0.0102436020541213,0.0220098324931056,0.0647814271504683,0.33502419766660424,0.5897456881917567
GB002,train,104573,0.06721249051930081,0.11588405366659987,0.0036863036696935,0.8105866372507373,0.0045181742578453,0.0055385250756528,0.0097141358335299,0.0221808819488376,0.0638703621188812,0.33035709736780977,0.5917372259776392
GB002,validation,44817,0.06733946519665568,0.11601222126603693,0.0035419032672324,0.8268499027097891,0.0045008825623941,0.00551985042382082,0.0096968466374635,0.0221580019786666,0.0642299506937585,0.3324163573542086,0.5860437425731497
GB003,train,104573,0.06720070956622169,0.11582831582123501,0.0033678546102475,0.8219129104357238,0.00474688399077834,0.0058163999175945,0.0099526290843508,0.0220475375446846,0.0647753802607023,0.33548704735868623,0.6011578498650274
GB003,validation,44817,0.06734248477045358,0.11597527152747689,0.0033754656303799,0.8056665606550193,0.0047535543757702085,0.0058134832483964,0.009946607378435,0.0220797309622424,0.0649050310801761,0.3370439615093073,0.5984473494358663
GB004,train,104573,0.06718390319010961,0.11504542136729044,0.004388548297807,0.7886631976237263,0.0053137118122379,0.0063250332888559,0.0102596972625571,0.0221175909007029,0.0651715812608386,0.3351392915702723,0.5965223612668819
GB004,validation,44817,0.06735692221627433,0.115211736906815,0.004388548297807,0.782100368786025,0.0052892777451155,0.0063222292207765,0.010252971205616,0.0221791369366956,0.0652916091754763,0.3364114462682192,0.5970426979325877
GNB001,train,104573,0.025406347588823527,0.10326659384622836,1e-06,0.999999,1e-06,1e-06,3.0384867755410255e-05,0.0002789615461309,0.0031554957990937,0.13641763671903073,0.576619655057086
GNB001,validation,44817,0.025047450306023573,0.10423396414612647,1e-06,0.999999,1e-06,1e-06,3.081179505287845e-05,0.0002826791947347,0.0032942116350946,0.12923280186310884,0.604704870027008
GNB007,train,104573,0.025924105801414188,0.09482685159290961,1e-06,0.999999,3.400023821483317e-06,2.6639250755793432e-05,0.0001984617534268,0.0004791209259976,0.0061068306488481,0.1244121493150862,0.4597195199425467
GNB007,validation,44817,0.026100680983342645,0.09596664124861948,1e-06,0.999999,3.329593956541525e-06,2.6220839615832422e-05,0.0001992718562405,0.0004797843775643,0.0063246007366208,0.1237584755421542,0.490535800381194
GNB008,train,104573,0.04998649925246578,0.13283999027620172,1e-06,0.999999,1e-06,2.1490672403557363e-05,0.0004328162219655,0.0012051086576325,0.0152848383247525,0.2906093305904365,0.773027000593631
GNB008,validation,44817,0.04972982988968059,0.13322304717666644,1e-06,0.999999,1e-06,2.1269516487111664e-05,0.0004375153398288,0.0012144524770758,0.0155515569681632,0.28582025290437807,0.7934002602060222
GNB009,train,104573,0.02434958941220163,0.09825271635055365,1e-06,0.999999,1e-06,1e-06,6.59137454385979e-05,0.0003169582141963,0.0037299008648474,0.12311248691680958,0.52369255553448
GNB009,validation,44817,0.024362536587693804,0.1001892981800214,1e-06,0.999999,1e-06,1e-06,6.696030932082154e-05,0.000317611196781,0.0038793834303814,0.11967874890680819,0.5827371927515614
GNB010,train,104573,0.02113906283382441,0.09524523078322797,1e-06,0.999999,1e-06,1e-06,4.5595690411529216e-05,0.0002230333753421,0.0026004130258115,0.10120746312266318,0.4612075825791859
GNB010,validation,44817,0.021223164186926196,0.0973345419553874,1e-06,0.999999,1e-06,1e-06,4.626415939612185e-05,0.0002208513038772,0.0026941003122501,0.09756390676329746,0.5223331327053887
LASSOSTACK001,train,104573,0.06709188998552569,0.12396577650325999,0.0168166568075494,0.973705845656322,0.01724555048981958,0.01745161471083962,0.0182732809519728,0.0211917657034344,0.0440772004115951,0.3231276211849441,0.6812784382288639
LASSOSTACK001,validation,44817,0.06724217103051448,0.12400702336204987,0.0168687815310085,0.9529354858008762,0.01725595971045357,0.01745647563907194,0.0182824350121987,0.0211836786056708,0.0440056039112746,0.3233399609924162,0.6787328940984989
LGB001,train,104573,0.06699058025615937,0.11735470521639972,0.0015490902388095,0.9017082056311976,0.003389757164036924,0.00480512705239272,0.0094139702453654,0.0216614858814828,0.0643380423869629,0.3325602613923574,0.6092133904057487
LGB001,validation,44817,0.06715475583442279,0.11744508299109178,0.0016991110872193,0.8694645996273666,0.003383590184073324,0.00481159672195896,0.0094039983678566,0.0217303451232069,0.0641039253213668,0.3346498023740387,0.5971647639128153
LGB002,train,104573,0.06697740444362571,0.11886692418794409,0.0009253612874504,0.8839955716570381,0.002310348654197988,0.00370810802598176,0.0084904283973347,0.0211067385506741,0.0632728983878056,0.33370426002785275,0.6134342059060797
LGB002,validation,44817,0.06696334116524863,0.1182904283251748,0.0009543687177111,0.8574754808300165,0.002280041284345724,0.00373084418060664,0.0084826725774563,0.0212851017307282,0.0633950033837527,0.3357923180438597,0.601833620942189
LGB003,train,104573,0.06697713428741049,0.11729545432019853,0.0017203566865335,0.9212258939248388,0.00322528792810276,0.00457197042601864,0.0092250064330076,0.0215401794418713,0.0643409984121048,0.3325505332400452,0.6091869826235581
