split,score_col_1,score_col_2,correlation
train,BLOG004,ET002,0.8541770317116765
train,BLOG004,ET003,0.8831281657952599
train,BLOG004,ET004,0.7350211249107202
train,BLOG004,ET005,0.6855607099540285
train,BLOG004,GB001,0.944463462372167
train,BLOG004,GB002,0.9354131815455674
train,BLOG004,GB003,0.9442459509684009
train,BLOG004,GB004,0.9463373378365251
train,BLOG004,GNB001,0.535654650898648
train,BLOG004,GNB007,0.6056426133222469
train,BLOG004,GNB008,0.6586177894238542
train,BLOG004,GNB009,0.5559294051998088
train,BLOG004,GNB010,0.5122246625717387
train,BLOG004,LASSOSTACK001,0.8863524119214214
train,BLOG004,LGB001,0.9350896329879302
train,BLOG004,LGB002,0.9207494812090465
train,BLOG004,LGB003,0.9368372251183803
train,BLOG004,LGB004,0.9397131030825013
train,BLOG004,LRSTACK001,0.8770797133594306
train,BLOG004,NN001,0.9452109752802285
train,BLOG004,NN002,0.9332373885225332
train,BLOG004,NN003,0.9292677055133253
train,BLOG004,NN004,0.940952751857325
train,BLOG004,NN005,0.903329714657205
train,BLOG004,NN006,0.9410877454300919
train,BLOG004,NN007,0.9262663469333795
train,BLOG004,NN008,0.9273251544634348
train,BLOG004,NN009,0.9211610350217233
train,BLOG004,NN010,0.9173142345784887
train,BLOG004,NN011,0.9322896962486057
train,BLOG004,NN012,0.9308388932523958
train,BLOG004,NN013,0.9318590384427183
train,BLOG004,NN014,0.9483796071371537
train,BLOG004,NN015,0.9477287924780529
train,BLOG004,NN016,0.9466317916512738
train,BLOG004,NN017,0.9430128817019674
train,BLOG004,NN018,0.933828973684526
train,BLOG004,NN019,0.9344919956571184
train,BLOG004,NNSTACK001,0.8867586918160394
train,BLOG004,RASTACK001,0.6050422032071093
train,BLOG004,RF001,0.9577890914186914
train,BLOG004,RF002,0.9554298575892682
train,BLOG004,RF003,0.947061030566664
train,BLOG004,RF004,0.9487031465890426
train,BLOG004,RF005,0.7579916420387421
train,BLOG004,RFSTACK001,0.9560295334751109
train,BLOG004,RIDGESTACK001,0.9216781191889712
train,BLOG004,RLOG001,0.7165433318017254
train,BLOG004,RLOG002,0.7371599187825424
train,BLOG004,RLOG003,0.7380741669000854
train,BLOG004,RLOG004,0.738184069413303
train,BLOG004,RLOG005,0.717179478667793
train,BLOG004,RLOG006,0.7358723437048187
train,BLOG004,RLOG007,0.737992825101191
train,BLOG004,RLOG008,0.7381735297581095
train,BLOG004,T001,0.8905347435653973
train,BLOG004,T002,0.9360251036052685
train,BLOG004,T003,0.9291726829138175
train,BLOG004,T004,0.9349442129637293
train,BLOG004,T005,0.9288506057644341
train,BLOG004,T006,0.7514772197517083
train,BLOG004,T007,0.7401892196497742
train,BLOG004,WASTACK001,0.9230426989860606
train,BLOG004,WASTACK002,0.9225906212334318
train,BLOG004,WASTACK003,0.9590592896673433
train,BLOG004,WASTACK004,0.9435525328232256
train,BLOG004,WGNB001,0.7730851239540774
train,BLOG004,WGNB002,0.7730851219967262
train,BLOG004,WGNB003,0.773085122014334
train,BLOG004,WGNB004,0.7730851221907044
train,BLOG004,WGNB005,0.7730851239540774
train,BLOG004,WGNB006,0.7730851415880002
train,BLOG004,WGNB007,0.7730853179341719
train,BLOG004,WGNB008,0.773087082091653
train,BLOG004,WGNB009,0.773104792921261
train,BLOG004,WGNB010,0.7732882114612174
train,BLOG004,WGNB011,0.8139443656177692
train,BLOG004,WGNB012,0.7720497626660023
train,BLOG004,WGNB013,0.7725953399006017
train,BLOG004,WGNB014,0.7729790401585548
train,BLOG004,WLOG001,0.6432988307756426
train,BLOG004,WLOG002,0.8931779875891613
train,BLOG004,WLOG003,0.9677732749279229
train,BLOG004,WLOG004,0.9957218785776958
train,BLOG004,WLOG005,0.9897540108127517
train,BLOG004,XGB001,0.9473806201203413
train,BLOG004,XGB002,0.9463428359932797
train,BLOG004,XGB003,0.9659624565082119
train,BLOG004,XGB004,0.9676275202458918
train,BLOG004,XGBSTACK001,0.9323872221143041
train,BLOG005,BLOG001,0.6401816254062167
train,BLOG005,BLOG002,0.8898158804530897
train,BLOG005,BLOG003,0.962890491988717
train,BLOG005,BLOG004,0.9934560893395689
train,BLOG005,BLOG005,1.0
train,BLOG005,BNB001,0.8755087977090024
train,BLOG005,BNB002,0.7542056088057835
train,BLOG005,BNB003,0.8755095582747828
train,BLOG005,BNB004,0.7542081878892565
train,BLOG005,BNB005,0.875510509093813
train,BLOG005,BNB006,0.7542114119084957
train,BLOG005,BNB007,0.8755133622963864
train,BLOG005,BNB008,0.7542210850647937
train,BLOG005,BNB009,0.8755181201212291
train,BLOG005,BNB010,0.7542372106502743
train,BLOG005,BNB011,0.8755276451141117
train,BLOG005,BNB012,0.7542694755127632
train,BLOG005,BNB013,0.875546732594554
train,BLOG005,BNB014,0.7543340597899533
train,BLOG005,BNB015,0.8756042973416395
train,BLOG005,BNB016,0.7545282445816173
train,BLOG005,BNB017,0.8757012599681647
train,BLOG005,BNB018,0.754853295382776
train,BLOG005,CAT001,0.9548763887611582
train,BLOG005,CAT002,0.9488618299579789
train,BLOG005,CAT003,0.9572503618206084
train,BLOG005,CAT004,0.9591071068847149
train,BLOG005,EASTACK001,0.9312613805027239
train,BLOG005,ET001,0.8182761219187917
train,BLOG005,ET002,0.8610183030813554
train,BLOG005,ET003,0.8911232036056098
train,BLOG005,ET004,0.7452322864483756
train,BLOG005,ET005,0.691847453621711
train,BLOG005,GB001,0.9493186466414487
train,BLOG005,GB002,0.9403778108107307
train,BLOG005,GB003,0.9493174928882406
train,BLOG005,GB004,0.9512736879562225
train,BLOG005,GNB001,0.5487632572021056
train,BLOG005,GNB007,0.613106341291212
train,BLOG005,GNB008,0.6708047023285
train,BLOG005,GNB009,0.568302043321045
train,BLOG005,GNB010,0.522066025288889
train,BLOG005,LASSOSTACK001,0.8928363026958256
train,BLOG005,LGB001,0.9400067149309562
train,BLOG005,LGB002,0.9254869205561986
train,BLOG005,LGB003,0.9417259334181609
train,BLOG005,LGB004,0.9444948030709572
train,BLOG005,LRSTACK001,0.8838142776235179
train,BLOG005,NN001,0.9515047095562298
train,BLOG005,NN002,0.9371506349530584
train,BLOG005,NN003,0.9359931335611947
train,BLOG005,NN004,0.9453657441496113
train,BLOG005,NN005,0.9130280579459217
train,BLOG005,NN006,0.9476985372022855
train,BLOG005,NN007,0.9322057128607332
train,BLOG005,NN008,0.9316692378018734
train,BLOG005,NN009,0.9271224685318334
train,BLOG005,NN010,0.9222127987904132
train,BLOG005,NN011,0.9366147876370475
train,BLOG005,NN012,0.9392253699788365
train,BLOG005,NN013,0.9373742123336231
train,BLOG005,NN014,0.9551513623354624
train,BLOG005,NN015,0.954634355249409
train,BLOG005,NN016,0.9520419563174368
train,BLOG005,NN017,0.9509174286809036
train,BLOG005,NN018,0.9383317087192731
train,BLOG005,NN019,0.940284971768219
train,BLOG005,NNSTACK001,0.8931633700890704
train,BLOG005,RASTACK001,0.6174860342082937
train,BLOG005,RF001,0.9599572137907353
train,BLOG005,RF002,0.9592135932038847
train,BLOG005,RF003,0.952155549148211
train,BLOG005,RF004,0.9532234412936093
train,BLOG005,RF005,0.7649647178323492
train,BLOG005,RFSTACK001,0.9619066299539896
train,BLOG005,RIDGESTACK001,0.9284417263620062
train,BLOG005,RLOG001,0.7294924369359024
train,BLOG005,RLOG002,0.7498525695692433
train,BLOG005,RLOG003,0.750593009939235
train,BLOG005,RLOG004,0.7506772951625743
train,BLOG005,RLOG005,0.7305943999607876
train,BLOG005,RLOG006,0.7486037768083849
train,BLOG005,RLOG007,0.7505118009001859
train,BLOG005,RLOG008,0.7506657075768394
train,BLOG005,T001,0.8858737186243437
train,BLOG005,T002,0.9331115819774695
train,BLOG005,T003,0.9286074482273574
train,BLOG005,T004,0.931920711858655
train,BLOG005,T005,0.9279454092112767
train,BLOG005,T006,0.7539068979117212
train,BLOG005,T007,0.7471199907281693
train,BLOG005,WASTACK001,0.930584435817375
train,BLOG005,WASTACK002,0.9300853421041408
train,BLOG005,WASTACK003,0.9667193267589648
train,BLOG005,WASTACK004,0.9488618299579789
train,BLOG005,WGNB001,0.7745447561165537
train,BLOG005,WGNB002,0.7745447544338455
