model_id,model_family,validation_auc,validation_ks,validation_log_loss,validation_brier_score,auc_gap,feature_count,selection_score,model_artifact_available,model_artifact_path,governance_flag,governance_checks
GNB009,naive_bayes,0.79337473482975,0.4653687298973566,0.3524777588535744,0.06051474605629127,-0.0008350534014383015,10,0.6531491967398699,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB009.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
GNB010,naive_bayes,0.7926794630410643,0.4633831276104199,0.43800943197638625,0.061779752022522824,-0.0005469459864817505,12,0.6209588131907501,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB010.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB001,naive_bayes,0.8587046911411955,0.5678471334950026,0.33962973132100044,0.0751062548403582,-0.005248674629432903,44,0.8263164906032916,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB001.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB002,naive_bayes,0.8587046911411955,0.5678471334950026,0.5833827669345046,0.13223089276170333,-0.005248674629432903,44,0.7137294792991706,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB002.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB003,naive_bayes,0.8587046991050434,0.5678471334950026,0.3396263797845208,0.07510571574219214,-0.005248637242099008,44,0.8263180131131515,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB003.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB004,naive_bayes,0.8587046991050434,0.5678471334950026,0.5833746193959687,0.13222900894736592,-0.005248637242099008,44,0.7137333583188646,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB004.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB005,naive_bayes,0.8587052486105435,0.5678471334950026,0.33962219060046095,0.07510504183986967,-0.0052488590487365094,44,0.8263202462315186,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB005.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB006,naive_bayes,0.8587052486105435,0.5678471334950026,0.5833644342884237,0.13222665400819214,-0.0052488590487365094,44,0.7137385374524062,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB006.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB007,naive_bayes,0.858707096223239,0.5678471334950026,0.3396096246281849,0.0751030199355641,-0.005250747623789853,44,0.8263236074239155,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB007.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB008,naive_bayes,0.858707096223239,0.5678471334950026,0.5833338744543448,0.13221958805003955,-0.005250747623789853,44,0.7137507391939311,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB008.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB009,naive_bayes,0.858707382921761,0.5679188798000678,0.33958868660087965,0.07509964943784458,-0.005247823166047438,44,0.8264060279572417,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB009.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB010,naive_bayes,0.858707382921761,0.5679188798000678,0.5832829263283386,0.13220780765755324,-0.005247823166047438,44,0.7138479023249925,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB010.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB011,naive_bayes,0.8587092225706088,0.5679179480298723,0.33954683023236293,0.07509290598226415,-0.0052460639791731545,44,0.8264319237706085,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB011.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB012,naive_bayes,0.8587092225706088,0.5679179480298723,0.5831809737385419,0.13218423268815802,-0.0052460639791731545,44,0.7139033145492824,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB012.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB013,naive_bayes,0.8587134991568914,0.5678222862897851,0.33946319593348245,0.07507940926486091,-0.00524365199760124,44,0.8263977476530202,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB013.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB014,naive_bayes,0.8587134991568914,0.5678222862897851,0.582976844280006,0.13213702639073033,-0.00524365199760124,44,0.7139282954647898,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB014.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB015,naive_bayes,0.8587268943489348,0.5677284403070025,0.3392129144889752,0.07503884137569573,-0.0052464203836746215,44,0.8264380992257331,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB015.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB016,naive_bayes,0.8587268943489348,0.5677284403070025,0.5823626842693899,0.13199496434483404,-0.0052464203836746215,44,0.7141470984092855,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB016.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB017,naive_bayes,0.8587562172366305,0.5678222862897851,0.3387978121239509,0.07497097393933332,-0.005248885131116543,44,0.8267501408873033,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB017.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
BNB018,naive_bayes,0.8587562172366305,0.5678222862897851,0.5813333270831116,0.1317567674636969,-0.005248885131116543,44,0.7147597393113941,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BNB018.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
WGNB001,naive_bayes,0.8522612772505153,0.5640505999954989,0.8173821074723937,0.09283507991876272,-0.004303722147241951,12,0.6888732007840487,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WGNB001.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
WGNB002,naive_bayes,0.8522612772505153,0.5640505999954989,0.8173821168327582,0.09283508022584269,-0.004303720684300627,12,0.6888732021706025,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WGNB002.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
WGNB003,naive_bayes,0.8522612772505153,0.5640505999954989,0.8173821167530375,0.09283508022307622,-0.004303720684300627,12,0.6888732021972378,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WGNB003.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
