model_id,model_family,feature,importance,importance_normalized,importance_type,rank,status
RLOG007,logistic,age_sq_scaled,0.35663360594615257,0.044696320625561885,absolute_coefficient,7.0,available
RLOG007,logistic,NumberOfTime30-59DaysPastDueNotWorse_scaled,1.1584489783881036,0.1451865615104349,absolute_coefficient,2.0,available
RLOG007,logistic,DebtRatio_capped_scaled,0.8206657669199965,0.1028527307384968,absolute_coefficient,4.0,available
RLOG007,logistic,MonthlyIncome_median_scaled,0.24275355086140077,0.030423915080882935,absolute_coefficient,8.0,available
RLOG007,logistic,NumberOfOpenCreditLinesAndLoans_scaled,0.11208060825513487,0.014046883745543304,absolute_coefficient,11.0,available
RLOG007,logistic,NumberOfTimes90DaysLate_scaled,1.092857521592659,0.13696608891798515,absolute_coefficient,3.0,available
RLOG007,logistic,NumberRealEstateLoansOrLines_scaled,0.029663784619196876,0.003717714781224022,absolute_coefficient,15.0,available
RLOG007,logistic,NumberOfTime60-89DaysPastDueNotWorse_scaled,2.131618984859825,0.2671524051864449,absolute_coefficient,1.0,available
RLOG007,logistic,NumberOfDependents_median_scaled,0.06348018867491302,0.007955870728608448,absolute_coefficient,14.0,available
RLOG007,logistic,RevolvingUtilization_log_scaled,0.2047665494176406,0.02566306481936735,absolute_coefficient,9.0,available
RLOG007,logistic,DebtRatio_log_scaled,0.729156270588288,0.09138399161764321,absolute_coefficient,5.0,available
RLOG007,logistic,MonthlyIncome_missing_flag_scaled,0.10509847314686852,0.013171823896311975,absolute_coefficient,12.0,available
RLOG007,logistic,NumberOfDependents_missing_flag_scaled,0.0012838525263892456,0.00016090318803017008,absolute_coefficient,17.0,available
RLOG007,logistic,DebtRatio_high_flag_scaled,0.0017930853322376643,0.00022472452282241634,absolute_coefficient,16.0,available
RLOG007,logistic,RevolvingUtilization_high_flag_scaled,0.14328266842896123,0.017957388146853114,absolute_coefficient,10.0,available
RLOG008,logistic,RevolvingUtilization_capped_scaled,0.7080772005711907,0.08716365028363789,absolute_coefficient,6.0,available
RLOG008,logistic,age_scaled,0.08690231615486028,0.010697594962879768,absolute_coefficient,13.0,available
RLOG008,logistic,age_sq_scaled,0.35894972146014187,0.04418637962855207,absolute_coefficient,7.0,available
RLOG008,logistic,NumberOfTime30-59DaysPastDueNotWorse_scaled,1.1653688118690837,0.14345582584395428,absolute_coefficient,2.0,available
RLOG008,logistic,DebtRatio_capped_scaled,0.8763377802481007,0.10787637244394677,absolute_coefficient,4.0,available
RLOG008,logistic,MonthlyIncome_median_scaled,0.24118707992490662,0.02968990707587786,absolute_coefficient,8.0,available
RLOG008,logistic,NumberOfOpenCreditLinesAndLoans_scaled,0.11140108514010498,0.013713370828120056,absolute_coefficient,11.0,available
RLOG008,logistic,NumberOfTimes90DaysLate_scaled,1.1037825749694696,0.1358746168866924,absolute_coefficient,3.0,available
RLOG008,logistic,NumberRealEstateLoansOrLines_scaled,0.02871504114216386,0.0035347950788089245,absolute_coefficient,15.0,available
RLOG008,logistic,NumberOfTime60-89DaysPastDueNotWorse_scaled,2.149255421923785,0.2645713600376579,absolute_coefficient,1.0,available
RLOG008,logistic,NumberOfDependents_median_scaled,0.06331400235356557,0.00779389529101038,absolute_coefficient,14.0,available
RLOG008,logistic,RevolvingUtilization_log_scaled,0.1962351717085364,0.024156368636576078,absolute_coefficient,9.0,available
RLOG008,logistic,DebtRatio_log_scaled,0.7611054643200802,0.09369138063963317,absolute_coefficient,5.0,available
RLOG008,logistic,MonthlyIncome_missing_flag_scaled,0.1067502354914218,0.01314085552615498,absolute_coefficient,12.0,available
RLOG008,logistic,NumberOfDependents_missing_flag_scaled,0.0013047958725881496,0.00016061916841562395,absolute_coefficient,17.0,available
RLOG008,logistic,DebtRatio_high_flag_scaled,0.021122485636278575,0.002600158499153149,absolute_coefficient,16.0,available
RLOG008,logistic,RevolvingUtilization_high_flag_scaled,0.14372852753294016,0.01769284916892879,absolute_coefficient,10.0,available
GNB001,naive_bayes,RevolvingUtilization_capped_scaled,1.1130292389899932,0.23280580899298287,naive_bayes_class_separation,2.0,available
GNB001,naive_bayes,age_scaled,0.4892614142746657,0.10233594533655242,naive_bayes_class_separation,4.0,available
GNB001,naive_bayes,age_sq_scaled,0.4939721459435873,0.10332126149781279,naive_bayes_class_separation,3.0,available
GNB001,naive_bayes,NumberOfTime30-59DaysPastDueNotWorse_scaled,0.243551992597124,0.050942344263910394,naive_bayes_class_separation,5.0,available
GNB001,naive_bayes,DebtRatio_capped_scaled,0.09416976040414009,0.019696937407911442,naive_bayes_class_separation,12.0,available
GNB001,naive_bayes,MonthlyIncome_median_scaled,0.07829690640517101,0.016376905474508905,naive_bayes_class_separation,13.0,available
GNB001,naive_bayes,NumberOfOpenCreditLinesAndLoans_scaled,0.13194972653646067,0.02759915171734295,naive_bayes_class_separation,9.0,available
GNB001,naive_bayes,NumberOfTimes90DaysLate_scaled,0.2268477752162674,0.047448420919655884,naive_bayes_class_separation,6.0,available
GNB001,naive_bayes,NumberRealEstateLoansOrLines_scaled,0.03811306910690385,0.00797188750826517,naive_bayes_class_separation,16.0,available
GNB001,naive_bayes,NumberOfTime60-89DaysPastDueNotWorse_scaled,0.19410029567710105,0.04059882236507082,naive_bayes_class_separation,7.0,available
GNB001,naive_bayes,NumberOfDependents_median_scaled,0.18477816874383518,0.038648967656668365,naive_bayes_class_separation,8.0,available
GNB001,naive_bayes,RevolvingUtilization_log_scaled,1.1329320950823976,0.2369687728680988,naive_bayes_class_separation,1.0,available
GNB001,naive_bayes,DebtRatio_log_scaled,0.059924620291645636,0.012534081960194853,naive_bayes_class_separation,14.0,available
GNB001,naive_bayes,MonthlyIncome_missing_flag_scaled,0.09616268642942656,0.020113786075787413,naive_bayes_class_separation,11.0,available
GNB001,naive_bayes,NumberOfDependents_missing_flag_scaled,0.05814452905475505,0.012161750698833122,naive_bayes_class_separation,15.0,available
GNB001,naive_bayes,DebtRatio_high_flag_scaled,0.10828897913756097,0.022650171720574885,naive_bayes_class_separation,10.0,available
GNB001,naive_bayes,RevolvingUtilization_high_flag_scaled,0.03741073089054814,0.007824983535828871,naive_bayes_class_separation,17.0,available
GNB002,naive_bayes,PC1,0.3165000121146787,0.18067522227295305,naive_bayes_class_separation,4.0,available
GNB002,naive_bayes,PC2,0.4444404835013247,0.2537105215484332,naive_bayes_class_separation,1.0,available
GNB002,naive_bayes,PC3,0.3863967512592429,0.22057603869542755,naive_bayes_class_separation,3.0,available
GNB002,naive_bayes,PC4,0.19712634762756867,0.11253031693585386,naive_bayes_class_separation,5.0,available
GNB002,naive_bayes,PC5,0.40729853498569835,0.23250790054733234,naive_bayes_class_separation,2.0,available
GNB003,naive_bayes,PC1,0.3165000121146787,0.16819119458978135,naive_bayes_class_separation,4.0,available
GNB003,naive_bayes,PC2,0.4444404835013247,0.23618000942465364,naive_bayes_class_separation,1.0,available
GNB003,naive_bayes,PC3,0.3863967512592429,0.2053350037672514,naive_bayes_class_separation,3.0,available
GNB003,naive_bayes,PC4,0.19712634762756867,0.10475486452931992,naive_bayes_class_separation,5.0,available
GNB003,naive_bayes,PC5,0.40729853498569835,0.21644241558225003,naive_bayes_class_separation,2.0,available
GNB003,naive_bayes,PC6,0.13002492176956745,0.06909651210674367,naive_bayes_class_separation,6.0,available
GNB004,naive_bayes,PC1,0.3165000121146787,0.1357893357685433,naive_bayes_class_separation,4.0,available
GNB004,naive_bayes,PC2,0.4444404835013247,0.19068017609246773,naive_bayes_class_separation,1.0,available
GNB004,naive_bayes,PC3,0.3863967512592429,0.16577742871493,naive_bayes_class_separation,3.0,available
GNB004,naive_bayes,PC4,0.19712634762756867,0.08457394875905307,naive_bayes_class_separation,6.0,available
GNB004,naive_bayes,PC5,0.40729853498569835,0.17474500918871763,naive_bayes_class_separation,2.0,available
GNB004,naive_bayes,PC6,0.13002492176956745,0.055785140867700825,naive_bayes_class_separation,8.0,available
GNB004,naive_bayes,PC7,0.28353846541444283,0.12164770429616564,naive_bayes_class_separation,5.0,available
GNB004,naive_bayes,PC8,0.16549089334484182,0.07100125631242182,naive_bayes_class_separation,7.0,available
GNB005,naive_bayes,PC1,0.3165000121146787,0.13368977780003544,naive_bayes_class_separation,4.0,available
GNB005,naive_bayes,PC2,0.4444404835013247,0.18773190271823295,naive_bayes_class_separation,1.0,available
GNB005,naive_bayes,PC3,0.3863967512592429,0.16321419855044603,naive_bayes_class_separation,3.0,available
GNB005,naive_bayes,PC4,0.19712634762756867,0.08326627679026227,naive_bayes_class_separation,6.0,available
GNB005,naive_bayes,PC5,0.40729853498569835,0.17204312340053968,naive_bayes_class_separation,2.0,available
GNB005,naive_bayes,PC6,0.13002492176956745,0.05492259789722223,naive_bayes_class_separation,8.0,available
GNB005,naive_bayes,PC7,0.28353846541444283,0.11976680248999547,naive_bayes_class_separation,5.0,available
GNB005,naive_bayes,PC8,0.16549089334484182,0.06990344364089576,naive_bayes_class_separation,7.0,available
GNB005,naive_bayes,PC9,0.03660477448096671,0.015461876712370233,naive_bayes_class_separation,9.0,available
GNB006,naive_bayes,PC1,0.3165000121146787,0.12974165888008227,naive_bayes_class_separation,4.0,available
GNB006,naive_bayes,PC2,0.4444404835013247,0.1821878148365904,naive_bayes_class_separation,1.0,available
GNB006,naive_bayes,PC3,0.3863967512592429,0.1583941661148634,naive_bayes_class_separation,3.0,available
GNB006,naive_bayes,PC4,0.19712634762756867,0.08080726183639342,naive_bayes_class_separation,6.0,available
GNB006,naive_bayes,PC5,0.40729853498569835,0.16696235565806142,naive_bayes_class_separation,2.0,available
GNB006,naive_bayes,PC6,0.13002492176956745,0.05330062685755651,naive_bayes_class_separation,8.0,available
GNB006,naive_bayes,PC7,0.28353846541444283,0.11622985608560912,naive_bayes_class_separation,5.0,available
GNB006,naive_bayes,PC8,0.16549089334484182,0.06783905911613947,naive_bayes_class_separation,7.0,available
GNB006,naive_bayes,PC9,0.03660477448096671,0.015005257448050714,naive_bayes_class_separation,10.0,available
GNB006,naive_bayes,PC10,0.04733918476278287,0.019405573858015394,naive_bayes_class_separation,9.0,available
GNB006,naive_bayes,PC11,0.024702906040564455,0.010126369308638,naive_bayes_class_separation,11.0,available
GNB007,naive_bayes,RevolvingUtilization_log_scaled,1.1329320952365585,0.35290171070762844,naive_bayes_class_separation,1.0,available
GNB007,naive_bayes,RevolvingUtilization_capped_scaled,1.1130292391304577,0.34670208762576654,naive_bayes_class_separation,2.0,available
GNB007,naive_bayes,NumberOfTime30-59DaysPastDueNotWorse_scaled,0.24355199260437785,0.0758650189165928,naive_bayes_class_separation,4.0,available
GNB007,naive_bayes,age_sq_scaled,0.49397214602043193,0.15386942969086753,naive_bayes_class_separation,3.0,available
GNB007,naive_bayes,NumberOfTimes90DaysLate_scaled,0.22684777522291139,0.07066175305914461,naive_bayes_class_separation,5.0,available
GNB008,naive_bayes,RevolvingUtilization_log_scaled,1.1329320950823976,0.3347030028633542,naive_bayes_class_separation,1.0,available
GNB008,naive_bayes,RevolvingUtilization_capped_scaled,1.1130292389899932,0.32882308673369376,naive_bayes_class_separation,2.0,available
GNB008,naive_bayes,NumberOfTime30-59DaysPastDueNotWorse_scaled,0.243551992597124,0.07195275306388252,naive_bayes_class_separation,4.0,available
GNB008,naive_bayes,age_sq_scaled,0.4939721459435873,0.1459345721564619,naive_bayes_class_separation,3.0,available
GNB008,naive_bayes,NumberOfTimes90DaysLate_scaled,0.2268477752162674,0.06701781323640034,naive_bayes_class_separation,5.0,available
GNB008,naive_bayes,NumberRealEstateLoansOrLines_scaled,0.03811306910690385,0.0112597734090069,naive_bayes_class_separation,8.0,available
GNB008,naive_bayes,MonthlyIncome_median_scaled,0.07829690640517101,0.02313131546230559,naive_bayes_class_separation,6.0,available
GNB008,naive_bayes,NumberOfDependents_missing_flag_scaled,0.05814452905475505,0.017177683074894846,naive_bayes_class_separation,7.0,available
GNB009,naive_bayes,RevolvingUtilization_log_scaled,1.1329320950823976,0.27848147110146304,naive_bayes_class_separation,1.0,available
GNB009,naive_bayes,RevolvingUtilization_capped_scaled,1.1130292389899932,0.27358923027980075,naive_bayes_class_separation,2.0,available
GNB009,naive_bayes,NumberOfTime30-59DaysPastDueNotWorse_scaled,0.243551992597124,0.0598665334688103,naive_bayes_class_separation,5.0,available
GNB009,naive_bayes,age_sq_scaled,0.4939721459435873,0.12142130184378964,naive_bayes_class_separation,3.0,available
GNB009,naive_bayes,NumberOfTimes90DaysLate_scaled,0.2268477752162674,0.05576053713415685,naive_bayes_class_separation,6.0,available
GNB009,naive_bayes,NumberRealEstateLoansOrLines_scaled,0.03811306910690385,0.009368419871899184,naive_bayes_class_separation,10.0,available
GNB009,naive_bayes,MonthlyIncome_median_scaled,0.07829690640517101,0.01924584692502667,naive_bayes_class_separation,8.0,available
GNB009,naive_bayes,NumberOfDependents_missing_flag_scaled,0.05814452905475505,0.014292272288827953,naive_bayes_class_separation,9.0,available
GNB009,naive_bayes,NumberOfTime60-89DaysPastDueNotWorse_scaled,0.19410029567710105,0.047711011203594486,naive_bayes_class_separation,7.0,available
GNB009,naive_bayes,age_scaled,0.4892614142746657,0.1202633758826312,naive_bayes_class_separation,4.0,available
GNB010,naive_bayes,RevolvingUtilization_log_scaled,1.1329320950823976,0.2673516714682786,naive_bayes_class_separation,1.0,available
GNB010,naive_bayes,RevolvingUtilization_capped_scaled,1.1130292389899932,0.2626549541041987,naive_bayes_class_separation,2.0,available
GNB010,naive_bayes,NumberOfTime30-59DaysPastDueNotWorse_scaled,0.243551992597124,0.05747390562320966,naive_bayes_class_separation,5.0,available
GNB010,naive_bayes,age_sq_scaled,0.4939721459435873,0.11656857410080305,naive_bayes_class_separation,3.0,available
GNB010,naive_bayes,NumberOfTimes90DaysLate_scaled,0.2268477752162674,0.05353200967311154,naive_bayes_class_separation,6.0,available
GNB010,naive_bayes,NumberRealEstateLoansOrLines_scaled,0.03811306910690385,0.008994001295175306,naive_bayes_class_separation,11.0,available
GNB010,naive_bayes,MonthlyIncome_median_scaled,0.07829690640517101,0.018476666773832907,naive_bayes_class_separation,9.0,available
GNB010,naive_bayes,NumberOfDependents_missing_flag_scaled,0.05814452905475505,0.013721066864465578,naive_bayes_class_separation,10.0,available
GNB010,naive_bayes,NumberOfTime60-89DaysPastDueNotWorse_scaled,0.19410029567710105,0.045804191360635696,naive_bayes_class_separation,7.0,available
GNB010,naive_bayes,age_scaled,0.4892614142746657,0.11545692584669198,naive_bayes_class_separation,4.0,available
